motif_id,name_en,name_en_google,name_ru,description_en,description_en_google,description_ru,has_berezkin_english,pc_class,pc_subtype,pc_confidence,pc_reason,pc_engine
a12e,Eclipses: spider,Spider darkens the moon,Паук затмевает луну,A spider produces the lunar eclipses,Eclipses of the moon causes a spider,Затмения луны вызывает паук,True,PERCEPTION,celestial,0.8,The motif describes perceiving a figure (a spider) in an ambiguous natural feature (the moon during a lunar eclipse).,ollama-hermes3:8b
a12f,Eclipses: creditor,Lender,Заимодавец,A creditor comes from time to time to the Sun or the Moon to claim back his money producing eclipses,Luminaries fade due to the fact that the lender requires them to return the debt,"Светила меркнут из-за того, что заимодавец требует от них вернуть долг",True,PERCEPTION,celestial,0.8,"The motif describes perceiving figures (the Sun and Moon) in natural phenomena (eclipses), fitting pareidolia.",ollama-hermes3:8b
a13a,Raven hides the Sun,Raven hides the sun,Ворон прячет солнце,A raven steals (hides) the Sun or tries to do it,The raven steals or hides the sun or tries to do it.,Ворон похищает или прячет солнце либо пытается это сделать,True,MENTION,,1.0,"The motif describes an attempt by a bird to steal or hide the Sun, but no figure is perceived in or becomes a celestial feature.",ollama-hermes3:8b
a13a1,Raven obtains the Sun,Raven hunts for sun,Ворон добывает солнце,Raven (crow) gets the hidden or stolen Sun,The raven obtains the stolen or hidden sun,Ворон добывает похищенное или спрятанное солнце,True,PERCEPTION,celestial,1.0,"The motif describes perceiving a figure in a natural feature - specifically, seeing a raven in the sun's surface.",ollama-hermes3:8b
a13b,Ants shade the Sun,Ants overshadow the sun,Муравьи затмевают солнце,During an eclipse or during the first night ants shade or shaded the Sun,"During an eclipse or at the first appearance of the night, ants overshadow the sun.",Во время затмения или при первом появлении ночи муравьи затмевают солнце,True,MENTION,,1.0,"The motif describes a celestial feature (the sun) but does not involve perceiving a figure in it, becoming it, or any transformation.",ollama-hermes3:8b
a14,Eclipses: relations between the Sun and the Moon,Eclipses: Relationship of the Sun with the Moon,Затмения: отношения Солнца с Луной,Coming together of the Sun and the Moon is the reason of their eclipses,Meeting the sun with the moon is the cause of eclipses or lunar phases,Встреча солнца с луной есть причина затмений или лунных фаз,True,PERCEPTION,celestial,1.0,"The motif describes perceiving figures (the sun and moon) in an ambiguous natural event (eclipses), fitting pareidolia.",ollama-hermes3:8b
a15,Eclipses: crossing of the paths,Eclipses: Trail Crossing,Затмения: пересечение троп,An eclipse happens when the Sun or the Moon turns to a wrong path or when their paths cross,An eclipse occurs when the star turns off on the wrong road or the paths of the stars intersect,"Затмение происходит, когда светило сворачивает на неверную дорогу или дороги светил пересекаются",True,MENTION,,1.0,"The motif describes an event involving celestial bodies, but no figure is perceived in them nor do they transform into anything.",ollama-hermes3:8b
a16,Dangers along the Sun’s way,Hazards on the Sun's Way,Опасности на пути Солнца,Every night the Sun and/or the Moon passes by creatures or objects which try to destroy them,"Nightly the sun and / or a month passes by creatures or objects trying to swallow it, destroy","Еженощно солнце и/или месяц проходит мимо существ или объектов, пытающихся его проглотить, уничтожить",True,MENTION,,1.0,"No figure is perceived in or becomes the sun/moon, they are simply passing through a dangerous area.",ollama-hermes3:8b
a17,The Sun’s relax at the midday,Midday Sun Rest,Полуденный отдых Солнца,"After passing half of the its way across the sky (in the day time) or in the underworld (in the night time), the Sun stops to have a rest","Having traveled halfway across the sky or the underworld, the sun stops to rest","Пройдя полпути по небу или по подземному миру, Солнце останавливается на отдых",True,MENTION,,1.0,"The motif describes a celestial feature, the sun's movement across the sky, but no figure is perceived in it and nothing becomes it.",ollama-hermes3:8b
a18,The sky boats,Sky boats,Небесные лодки,The Sun and/or the Moon regularly travel across the sky or the underworld in a boat. (Voyages by boat of the mythical persons who eventually become the Sun or the Moon not included),The sun and / or moon make their heavenly or underground journey in a boat,Солнце и/или луна совершают свое небесное или подземное путешествие в лодке,True,PERCEPTION,celestial,0.9,"The motif describes perceiving figures (the sun and/or moon) being transported in boats within the sky, which is a clear example of pareidolia.",ollama-hermes3:8b
a19a,"By horse in the morning, by ox in the evening","In the morning on the bull, in the evening on the horse","Утром на быке, вечером на коне","During its everyday travel across the sky, the Sun changes its draught animals (usually in the morning the Sun rides a slow animal and in the evening a quick one)","Moving daily across the sky, the sun changes the mount animals (usually it rides in the morning on an animal that moves slowly and in the evening on another that runs faster)","Двигаясь ежедневно по небосводу, солнце меняет ездовых животных (обычно утром едет на животном, которое движется медленно, а вечером на другом, бегущем быстрее)",True,,,,,
a19b,"By snail in summer, by bird in winter","In the summer on a snail, in the winter on a bird","Летом на улитке, зимой на птице","For its sky voyage, the Sun chooses draught animals according to the season, riding a slow one in the summer time and a quick one in the winter time. Or a young man carries the Sun in the winter time and the old man in the summer time","Moving across the sky, the sun changes the mount animals depending on the season - in the summer it rides on a slow-moving one, in winter - on a fast one. Either in winter the sun is carried by a young man, and in summer by an old man.","Двигаясь по небосводу, солнце меняет ездовых животных в зависимости от сезона – летом едет на тихоходном, зимой – на движущемся быстро. Либо зимой солнце несет молодой человек, а летом – старик",True,,,,,
a20,Childhood of the Sun and Moon,Childhood Sun and Moon,Детство Солнца и Луны,The Sun and Moon are two siblings who live on earth and then ascend to the sky. Their (birth and) childhood are described,"The sun and the moon (either the sun and the star, the month and the star) are children, adolescents who initially live on earth and then rise to the sky and become stars","Солнце и луна (либо Солнце и звезда, Месяц и звезда) – это дети, подростки, которые первоначально живут на земле, а затем поднимаются на небо и становятся светилами",True,,,,,
a21,Luminaries thrown up into the sky,Luminaries abandoned in the sky,Светила заброшены в небо,The sun and/or the moon are inanimate objects thrown up or put into the sky,The sun and / or the moon were objects that were abandoned or placed on the sky,"Солнце и/ли луна были предметами, которые оказались заброшены или помещены на небо",True,,,,,
a22,To the sky from a bonfire,To the sky from a fire,В небо с костра,"After getting into the fire or boiling water, one or two persons ascend to the sky and turn into the Sun and/or Moon","One or two people fall into the fire or boiling water and ascend to the sky, turning into the sun and / or the moon","Один или двое людей попадают в огонь или кипяток и возносятся к небу, превращаясь в солнце и/или в луну",True,,,,,
a22a,The hot Sun and its cold companion,Hot Sun and his companion,Горячее Солнце и его спутник,"After two persons burn up, one turns into the present Sun and another into a less important sky object","Two characters are burned; one turns into the present sun, and the other into a less significant celestial object","Сгорают два персонажа; один превращается в нынешнее солнце, а другой - в менее значительный небесный объект",True,,,,,
a22b,Hot fire and cold ashes,Hot fire and cooled coals,Горячий огонь и остывшие угли,Person who becomes the Sun burned up in a hot fire while his companion burned up in the less hot fire or threw himself into the ashes. He (she) turns into the Moon or a star which gives no warmth,"The sun and its companion or companion burn. The satellite (satellite) burns in a less hot fire (rushes into the ashes, etc.); so the moon (or star) is cold",Солнце и его спутник или спутница сгорают. Спутник (спутница) сгорает в менее горячем огне (бросается в золу и т.п.); поэтому Луна (или Звезда) холодна,True,,,,,
a22c,Person sacrificed to the Sun,Sacrifice to the sun,Жертва Солнцу,"To make the Sun rise above the horizon, to send him to the right distance from the earth, to make him move across the sky, etc. a person has to be sacrificed","A person must be sacrificed for the sun to rise, retire to the right distance from the earth, or go his own way in heaven","Чтобы солнце взошло, удалилось на нужное расстояние от земли или шло своим небесным путем, человек должен быть принесен в жертву",True,,,,,
a22d,The burned up persons turn into constellation,Burned turns into a constellation,Сожженный превращается в созвездие,The burned up persons turn into a constellation or into the dark spot on the Milky Way,The burnt character turns into a constellation or a dark spot on the Milky Way,Сожженный персонаж превращается в созвездие или в темное пятно на Млечном Пути,True,,,,,
a23,Elections of the Sun to be,Who will be the sun?,Кто станет солнцем?,The primeval ancestors come together to choose the best candidate to become the Sun and/or to send the Sun to the sky or to see how the Sun rises to the sky for the first time,"Antecedents come together to choose who should become the sun, to raise the sun to the sky, to see how the sun first rises to the sky, to name the correct name of the sun","Первопредки сходятся вместе, чтобы выбрать того, кто должен стать солнцем, чтобы поднять солнце к небу, увидеть, как солнце впервые поднимется к небу, назвать правильное имя Солнца",True,,,,,
a23a,Who will see the Sun first?,Who is the first to see the sun?,Кто первым увидит солнце?,Two persons or animals argue about who of them will be the first to see the rising sun. One who seemed to have less chances wins,"Arguing about superiority or seniority, the characters agree to decide in favor of who first sees the rising sun (beginning of the year). The winner is the one whose victory seemed unlikely. (In Uther 2004 (1), No. 120: 87, the detail is included in the definition of motive: the winner looks not to the east, but to the west and sees the crown of the trees lit by the rays. In Europe, in most cases (except for the Scots) who could check this detail There really is. However, in American and in some Asian traditions it is not)","Споря о превосходстве или старшинстве, персонажи соглашаются решить в пользу того, кто первым увидит восходящее солнце (начало года). Побеждает тот, чья победа казалась маловероятной. (В Uther 2004(1), № 120: 87 в определение мотива включена подробность: выигравший смотрит не на восток, а на запад и видит освещенные лучами макушки деревьев. В Европе в большинстве случаев (кроме шотландцев), которые удалось проверить, эта подробность действительно есть. Однако в американских и в некоторых азиатских традициях ее нет)",True,,,,,
a23b,First beams on the tree tops,The first rays on the mountains and trees,Первые лучи на горах и деревьях,Two persons or animals argue who will see the rising sun first. One who got to see not the sun itself but its reflection or the first beams on trees or mountain tops wins,"Two characters argue which of them will be the first to see the rising sun. The winner is the one who first noticed not the sun itself, but its reflection or the trees and mountains lit by the first rays.","Двое персонажей спорят, кто из них первым увидит восходящее солнце. Побеждает тот, кто первым заметил не само солнце, а его отражение или освещенные первыми лучами деревья и горы",True,,,,,
a23c,Who will fly higher?,Who soars higher?,Кто взлетит выше?,Birds argue who of them will fly higher. One who seemed to have less chances wins (he hides himself in feathers of a strong bird using it as a vehicle),Birds argue which of them will soar higher or will arrive first. The winner is the one whose victory seemed unlikely (he hides in the feathers of a strong bird and takes off with her),"Птицы спорят, кто из них взлетит выше или прилетит первым. Побеждает тот, чья победа казалась маловероятной (он прячется в перьях сильной птицы и взлетает вместе с ней)",True,,,,,
a24,The first sunrise,First sunrise,Первый восход,"In the beginning it is dark. When the Sun first appears on the sky, primeval beings or part of them perish or turn into animals or spirits","Ancestors live in the twilight. For the first time under the rays of the sun, they perish, turn into animals, into spirits","Первопредки живут в сумерках. Впервые оказавшись под лучами солнца, они гибнут, превращаются в животных, в духов",True,,,,,
a24a,The first day or night: transformed into spirits,The first day or night: turning into spirits,Первые день или ночь: превращение в духов,"At the moment when the first day or the first night come, (some) people turn into supernatural beings","At the time of the first day or the first night, people turn into supernatural characters.",В момент наступления первого дня или первой ночи люди превращаются в сверхъестественных персонажей,True,,,,,
a25,Getting accustomed to the light,Addiction to light,Привыкание к свету,"When people see light of day for the first time, they are prohibited to look at it immediately. Those who break this taboo are ruined","Going to earth (for the first time or after a world catastrophe) or being present at the first sunrise, people should not immediately look at the light","Выйдя на землю (впервые или после мировой катастрофы) либо присутствуя при первом восходе солнца, люди не должны сразу смотреть на свет",True,,,,,
a26,The Sun-bird,Sun bird,Птица-солнце,"A bird incorporates the Sun or the day light. It can be caught, let free, killed","The bird embodies the sun, the light of day; it can be caught, released, killed","Птица воплощает солнце, дневной свет; ее можно поймать, выпустить, убить",True,,,,,
a27,Crowns of the Sun and Moon,Crowns of the sun and moon,Короны Солнца и Луны,"Light and/or heat of the Sun and/or Moon originate from their crowns, necklaces or clothes (of feathers, of animal teeth)","The light and / or heat of the sun and / or moon are enclosed in their crowns, necklaces, or clothing (from feathers, from animal teeth)","Свет и/или жар солнца и/или луны заключены в их коронах, ожерельях или одежде (из перьев, из зубов животных)",True,,,,,
a29,The Sun and a demon compete for the hero,The sun and the demon compete for the hero,Солнце и демон соперничают из-за героя,"Two persons one of which is connected with the upper and another with the lower or middle world, both are eager to possess another person and pull him or her to his or her side. One or both rivals are female. Person connected with the upper world and/or the object of the competition are luminaries – the Sun, the Moon, or Venus","The character associated with the upper world, and the character associated with the earth or the lower world, each seeks to seize the person and pulls him to himself. One or both of the opponents are women. The character of the upper world and / or the one for which the struggle is being waged is associated with the luminaries - the sun, moon, Venus","Персонаж, связанный с верхним миром, и персонаж, связанный с землей или нижним миром, каждый стремится овладеть человеком и тянет его к себе. Один или оба соперника – женщины. Персонаж верхнего мира и/или тот, из-за которого ведется борьба, связаны со светилами – солнцем, луной, Венерой",True,,,,,
a29a,Torn in half by two wives,Torn by two wives,Разорванный двумя женами,The sky wife and the wife from the earth each pull the man to her side tearing him in half,"Heavenly and earthly women pull her husband in different directions, tearing him in half","Небесная и земная женщины тянут мужа в разные стороны, разрывая его пополам",True,,,,,
a29b,The Moon torn in half,Torn month,Разорванный месяц,"Person, connected with the upper world and another person connected with the lower world or the earth both are eager to possess a hero or heroin who is associated with the Moon","The character associated with the upper world, and the character associated with the earth or the lower world, each seeks to seize a hero or heroine who or who is associated with the Month or the Moon","Персонаж, связанный с верхним миром, и персонаж, связанный с землей или нижним миром, каждый стремится овладеть героем или героиней, который или которая ассоциируется с Месяцем или Луной",True,,,,,
a2a,Several suns burn the earth,Several suns scorch the earth,Несколько солнц опаляют землю,"The world was or will be (almost) burned when several suns had (will) appear(ed) simultaneously. (Texts with ""Moon was equal to Sun"" without ""the burned earth"" motif not mentioned)","The world was or will be (almost) burned when several suns are lit or lit at the same time. (The texts with the motif of the moon shone as bright as the sun, without the motive of scorched earth are not included)","Мир был или будет (почти) сожжен, когда несколько солнц зажглись или зажгутся одновременно. (Тексты с мотивом луна светила столь же ярко как солнце, без мотива опаленной земли не включены)",True,,,,,
a2b,Extra suns and moons annihilated,The extra suns are off,Лишние солнца погашены,Other suns or moons besides present ones had been in the sky and were later annihilated,"In addition to the present sun and / or the present moon, others were shining in the sky, which were then destroyed","Кроме нынешнего солнца и/или нынешней луны, на небе светили другие, которые были затем уничтожены",True,,,,,
a2b1,The last sun,Last sun,Последнее солнце,"Two or more suns shine in the sky. When the extra suns had been annihilated, there was a risk of the last one being destroyed too","Two or more suns shine in the sky. When they destroy the excess, there is a danger that the latter will be destroyed with them and darkness will come","На небе светят два или более солнца. Когда уничтожают лишние, существует опасность, что последнее будет уничтожено вместе с ними и наступит тьма",True,,,,,
a2c,Extra suns are children of the present one,Superfluous suns - children of the main,Лишние солнца – дети главного,Extra suns who almost burned or could burn the world are children of the present one,"The extra suns that nearly burned the world in the past or can burn it, if they are born, are the children of the Sun-father","Лишние солнца, которые чуть не сожгли мир в прошлом или могут сжечь его, если они родятся, есть дети Солнца-отца",True,,,,,
a2d,Suns of the other worlds,Suns of different worlds,Солнца разных миров,Different suns illuminate different worlds or will appear successively in the future,Other suns illuminate other tiers of the universe or will consistently shine in the future.,Другие солнца освещают иные ярусы мироздания или станут последовательно светить в будущем,True,,,,,
a3,Male sun and female moon,Sun-man and Luna-woman,Солнце-мужчина и Луна-женщина,"The Moon is female or bisexual, the Sun is male","The moon is female or bisexual, the Sun is male or probably male","Луна - женщина или двупола, Солнце - мужчина или, вероятно, мужчина",True,,,,,
a30,The Moon eats the dead,Month-carrion,Месяц-трупоед,"Moon descends to earth to eat children, corpses or bones of the dead","A month comes down to earth have children, corpses or bones of the dead","Месяц спускается на землю есть детей, трупы или кости мертвых",True,,,,,
a31,The incestuous Moon,Love Month,Влюбленный Месяц,"As a result of some intimate contacts and/or love affair, the Moon acquires its present appearance (often, the stains on his face) and/or ascends to the sky","As a result of intimate contact, love conflict, etc. The month (moon) acquires its present appearance, or rises from the earth to the sky and / or his (her) face is covered with spots that are now visible","В результате интимных контактов, любовного конфликта и т.п. Месяц (Луна) приобретает свой нынешний облик, либо поднимается с земли на небо и/ли его (ее) лицо покрывают пятна, которые теперь видно",True,,,,,
a31a,The cut off breast,Cut off chest,Отрезанная грудь,"When a woman gets know that her husband or lover did something against accepted rules of behavior, she cuts off her breast and shows it to him","Upon learning that her husband or lover had done something incompatible with accepted norms, the woman cuts off her breasts and shows him her","Узнав, что ее муж или любовник совершил нечто несовместимое с принятыми нормами, женщина отрезает себе грудь и показывает ему ее",True,,,,,
a32,Figure on lunar disc,The figure on the lunar disk,Фигура на лунном диске,A figure or an imprint of some being or object are seen in the Moon. (For statistical analysis motifs A32A – A32J are also included into A32),"On the lunar disk visible figure or imprint of a creature or object. (For statistical calculations, this motif also includes the motives A32A - A32J: a rabbit, a frog, a beast of prey, a man, a tree, etc., are visible on the moon)","На лунном диске видны фигура или отпечаток какого-то существа или предмета. (При статистических подсчетах в данный мотив включены также мотивы A32A – A32J: на луне видны кролик, лягушка, хищный зверь, человек, дерево и пр.)",True,,,,,
a32a,The Moon rabbit,Moon bunny,Лунный кролик,Rabbit or hare are seen in the moon,On the lunar disk visible figure or imprint of the body of a rabbit or hare,На лунном диске видны фигура или отпечаток тела кролика или зайца,True,,,,,
a32b,The Moon toad,Moon toad,Лунная жаба,Frog or toad are seen in the moon or the Moon is associated with them,"On the lunar disk a figure or imprint of the body of a toad or frog is visible, the moon is associated with this animal.","На лунном диске видны фигура или отпечаток тела жабы или лягушки, луна ассоциируется с этим животным",True,,,,,
a32c,A man and a dog in the Moon,Dog and man,Собака и человек,A human being and a dog together are seen in the moon,"On the lunar disk, human figures and dogs can be seen (or should have been visible).",На лунном диске видны (или должны были быть видны) фигуры человека и собаки,True,,,,,
a32c1,Predator animal in the Moon,Predatory beast on the moon,Хищный зверь на луне,"A predator animal (fox, wolf, dog, coyote, jaguar, lion) or its imprint is seen in the Moon","The lunar disk shows a figure or imprint of a predatory mammal (fox, wolf, dog, coyote, jaguar, lion.)","На лунном диске видны фигура или отпечаток хищного млекопитающего (лис, волк, пес, койот, ягуар, лев.)",True,,,,,
a32d,Man in the Moon,Man on the moon,Человек на луне,Human being or imprint of human being is seen in the moon,On the lunar disk visible figure or imprint of the body of an anthropomorphic creature,На лунном диске видны фигура или отпечаток тела антропоморфного существа,True,,,,,
a32d1,Cain and Abel in the Moon,Cain and Abel on the moon,Каин и Авель на луне,"Cain and Abel are related to the Moon, usually are seen (borth or Cain only) in the shadows of the lunar disc","Cain and Abel are associated with the moon, usually distinguishable (both or only Cain) in the silhouette of moon spots","Каин и Авель ассоциируются с луной, обычно различимы (оба или только Каин) в силуэте лунных пятен",True,,,,,
a32dd,Firewood-carrier in the moon,Man with brushwood on the moon,Человек с хворостом на луне,Person who carries a bundle of brushwood or firewood is seen in the moon.,"On the lunar disk, a figure or imprint of an anthropomorphic character carrying a bundle of wood or brushwood is visible.","На лунном диске видны фигура или отпечаток антропоморфного персонажа, несущего вязанку дров или хвороста",True,,,,,
a32e,Person with an object in hands,Character with subject in hand,Персонаж с предметом в руках,Person who holds some object in his or her hands is seen in the moon,On the lunar disk you can see a character holding some object or animal.,"На лунном диске виден персонаж, держащий какой-то предмет или животное",True,,,,,
a32f,Water-carrier in the Moon,Lunnaa water well,Лунная водоноша,Person who went to fetch water and/or holds in hands a container for liquid is seen in the moon,On the lunar disk you can see a character who has gone for water and / or holding a vessel for liquid in his hands.,"На лунном диске виден персонаж, пошедший за водой и/или держащий в руках сосуд для жидкости",True,,,,,
a32g,Holding a bush,Holding onto a bush,Держался за куст,Person who had been carried up to the moon took hold of a bush or a small tree and is seen now on the lunar disc together with this bush,On the lunar disk you can see a character who was holding on to a tree or a bush and with them turned out to be on the moon.,"На лунном диске виден персонаж, который держался за дерево или куст и вместе с ними оказался на луне",True,,,,,
a32h,The Moon plant,Moon tree,Лунное дерево,A tree or bush is seen in the moon,"On the lunar disk one can see a tree, a bush, a branch, a snag, etc.","На лунном диске видны дерево, куст, ветка, коряга и т.п.",True,,,,,
a32i,A shepherd in the moon,Shepherd on the moon,Пастух на луне,"A shepherd or herdsman (alone or with a girl, with his herd, dogs) is seen in the moon","A shepherd (a shepherd and a girl, a shepherd and his flock, dogs) can be seen on the moon disk","На лунном диске виден пастух (пастух и девушка, пастух и его стадо, собаки)",True,,,,,
a32j,A shaman in the moon,Shaman on the moon,Шаман на луне,"A shaman with his drum ascends to the moon and remains there, his figure is seen in the moon","A shaman with a tambourine rises to the moon and remains there, visible in the silhouette of moon spots","Шаман с бубном поднимается к луне и там остается, различим в силуэте лунных пятен",True,,,,,
a32k,"First to the Sun, then to the Moob","First to the sun, then to the moon","Сперва к солнцу, затем на луну",Person seen in the Moon initially had to get to the Sun or the Sun and the Moon argue who of them should get the person,"The character, who is visible in the silhouette of moon spots, first went to the sun and only then hit the moon, or the sun and moon argued over who he should belong to.","Персонаж, который различим в силуэте лунных пятен, сперва направился к солнцу и лишь затем попал на луну, либо Солнце и Луна спорили, кому он должен принадлежать",True,,,,,
a33,The sun ram,Sun ram,Солнечный баран,"The Sun has appearance of a big terrestrial mammal (bull, ram, antilope, pig, rhinocero, etc.) or rides such an animal","The sun has the appearance of a large non-predatory mammal (bull, sheep, pig, antelope, rhino, etc.) or rides it","Солнце имеет облик крупного нехищного млекопитающего (быка, барана, свиньи, антилопы, носорога и пр.) или едет на нем",True,,,,,
a34,The fox and the Moon,Fox and moon,Лиса и луна,"Jackal, coyote, or fox are connected with the Moon (usually with the origin of spots on the lunar disc)","Jackal, coyote or fox are associated with the moon (usually with the appearance of moon spots)","Шакал, койот или лиса связаны с луной (обычно с появлением лунных пятен)",True,,,,,
a35,Spots on the lunar disc,Spots on the lunar disk,Пятна на лунном диске,"Dark spots on the lunar disc are dirt, blood, paint, traces of beating, burning, scratching, etc. on the Moon person's body or face (Kiliwa: spots on the Sun) and do not form any particular figure","Dark spots on the lunar disk - dirt, blood, paint, trail of impact, burn on the body or face of the character, they do not add up to a certain image","Темные пятна на лунном диске – грязь, кровь, краска, след от удара, ожога на теле или лице персонажа, они не складываются в определенный образ",True,,,,,
a35a,Dirty face of the Moon,Dirt on the face of the moon,Грязь на лице Луны,Spots on the lunar disc are dirt thrown into the Moon's face by his/her sister/brother or mother,"Moon spots - dirt (manure, clay, ash, dough, dirty cloth), thrown in the face of the Moon / Month as a result of family or love conflict - often brother / sister or mother","Лунные пятна - грязь (навоз, глина, зола, тесто, грязная тряпка), брошенная в лицо Луны/Месяца в результате семейного или любовного конфликта - часто братом/сестрой или матерью",True,,,,,
a35b,To smear the Moon with pitch,To smear the moon with tar,Замазать луну смолой,"To make the Moon less bright, some person tried to smear it with pitch",The character is trying to cover the moon with tar so that the lights are less bright,"Персонаж пытается замазать луну смолой, чтобы та светила менее ярко",True,,,,,
a35c,Scars and wounds on the Moon’s face,Scratches and wounds on the face of the moon,Царапины и раны на лике луны,Dark spots on the Moon are scars and wounds on her face,Moon spots have scratches and wounds on the character's face.,Лунные пятна есть царапины и раны на лице персонажа,True,,,,,
a36,The immortal Moon,Moon and immortality,Луна и бессмертие,"Moon, unlike people, revives or rejuvenates every month; or those who live in the Moon are immortal; or the Moon makes decision if people should die forever or regularly revive",The moon (the month) is opposed to people as immortal to mortals; decides whether people are mortal; living on the moon are immortal,"Луна (месяц) противопоставлена людям как бессмертная смертным; выносит решение, быть ли людям смертными; живущие на луне бессмертны",True,,,,,
