motif_id,motif_base,name,description,n_traditions,pareidolic,perceptual_class,perceptual,perceptual_v2,is_celestial,pc_class,pc_subtype,pc_engine
a7_1,a7,The sun pursues the moon,The Sun and the Moon are persons of different sex. The man pursues the woman or vice versa. Details of pursuit usually explain why the luminaries are not equally bright and/or why there are stains on the lunar disc,36,True,,False,True,True,PERCEPTION,celestial,rule
a8_1,a8,"The Sun, the Moon and the Star are three siblings","The Sun, the Moon and the star (stars) are three sisters or three brothers",3,True,,False,False,True,MENTION,celestial,rule
a8a_1,a8a,,,6,False,,False,False,False,NONE,,rule
a9_1,a9,The moon defends people,Female moon does not permit her husband or son to destroy people,5,True,,False,False,True,MENTION,celestial,rule
a10_1,a10,The sun finds its eyes,The sun gets his bright eye or eyes from an animal,6,True,,False,False,True,MENTION,celestial,rule
a11a_1,a11a,Eyes of the Sun and the Moon: coolness and night,"Visible sun and/or moon are the Sun's and/or the Moon's eyes. If these eyes were not injured, light and heat would be more intense",31,True,celestial,True,False,True,MENTION,celestial,rule
a11b_1,a11b,One-eyed luminaries,The Sun or the Moon have only one eye (the Mundurucu: they are blind),30,True,,False,False,True,MENTION,celestial,rule
a11c_1,a11c,"The Sun, the Moon and monster’s eyes",The Sun and the Moon kill a monster whose eyes are unequally bright. The Moon takes the brighter eye but gives it back to the Sun,4,True,,False,False,True,MENTION,celestial,rule
a12_1,a12,Eclipses: a monster’s attack,"Some creature or creatures regularly (sunrise and sunset, summer and winter, lunar phases) or irregularly (solar and lunar eclipses, eschatological events) attack the luminaries or shade their light",270,True,,False,False,True,MENTION,celestial,rule
a12a_1,a12a,Eclipses: a predator animal,"During an eclipse or at the sunset the Sun or the Moon are attacked by a predator animal (a bear, a feline, a canine, a racoon)",82,True,,False,True,True,MENTION,celestial,rule
a12b_1,a12b,Eclipses: a frog or toad,During an eclipse or at the sunset the Sun or the Moon are attacked by a frog or toad,21,True,,False,True,True,MENTION,celestial,rule
a12c_1,a12c,Eclipses: reptiles and fish,"During an eclipse or at the sunset the Sun or the Moon are attacked by a reptile (a snake, a lizard, a dragon, a crocodile) or a fish",65,True,,False,True,True,MENTION,celestial,rule
a12d_1,a12d,Eclipses: birds,A bird or birds attack or shade the Sun or the Moon during an eclipse or at the sunrise and sunset,25,True,,False,False,True,MENTION,celestial,rule
a12e_1,a12e,Eclipses: spider,A spider produces the lunar eclipses,5,True,,False,False,True,MENTION,celestial,rule
a12f_1,a12f,Eclipses: creditor,A creditor comes from time to time to the Sun or the Moon to claim back his money producing eclipses,12,True,,False,False,True,MENTION,celestial,rule
a13a_1,a13a,Raven steals the Sun,Raven steals (hides) the Sun or tries to do it,8,True,,False,False,True,MENTION,celestial,rule
a13a1_1,a13a1,Raven obtains the Sun,Raven obtains the hidden or stolen Sun,27,True,,False,False,True,MENTION,celestial,rule
a13b_1,a13b,Ants shade the Sun,During an eclipse or during the first night ants shade or shaded the Sun,7,True,,False,False,True,MENTION,celestial,rule
a14_1,a14,Eclipses: relations between the Sun and the Moon,Coming together of the Sun and the Moon is the reason of their eclipses,96,True,,False,False,True,MENTION,celestial,rule
a15_1,a15,Eclipses: crossing of the paths,An eclipse happens when the Sun or the Moon turns to a wrong path or when their paths cross,13,True,,False,False,True,METAMORPHOSIS,celestial,rule
a16_1,a16,Dangers along the Sun’s way,Every night the Sun and/or the Moon passes by creatures or objects which try to destroy them,30,True,,False,False,True,MENTION,celestial,rule
a17_1,a17,The Sun’s relax at the midday,"After passing half of the its way across the sky (in the day time) or in the underworld (in the night time), the Sun stops to have a rest",45,True,,False,False,True,MENTION,celestial,rule
a18_1,a18,The sky boats,The Sun and/or the Moon regularly travel across the sky or the underworld in a boat. (Voyages by boat of the mythical persons who eventually become the Sun or the Moon not included),25,True,,False,False,True,MENTION,celestial,rule
a19a_1,a19a,"By horse in the morning, by ox in the evening","During its everyday travel across the sky, the Sun changes its draught animals (usually in the morning the Sun rides a slow animal and in the evening a quick one)",8,True,,False,False,True,MENTION,celestial,rule
a19b_1,a19b,"By snail in summer, by bird in winter","For its sky voyage, the Sun chooses draught animals according to the season, riding a slow animal in the summer time and a quick one in the winter time",5,True,,False,False,True,MENTION,celestial,rule
a20_1,a20,Childhood of the Sun and Moon,The Sun and Moon are two siblings who live on earth and then ascend to the sky. Their (birth and) childhood are described,34,True,,False,False,True,MENTION,celestial,rule
a21_1,a21,Luminaries thrown up into the sky,The sun and/or the moon are inanimate objects thrown up or put into the sky,55,True,,False,False,True,MENTION,celestial,rule
a22_1,a22,To the sky from a bonfire,"After getting into the fire or boiling water, one or two persons ascend to the sky and turn into the Sun and/or Moon",30,True,,False,False,True,METAMORPHOSIS,celestial,rule
a22a_1,a22a,The hot Sun and its cold companion,"After two persons burn up, one turns into the present Sun and another into a less important sky object",14,True,,False,False,True,METAMORPHOSIS,celestial,rule
a22b_1,a22b,Hot fire and cold ashes,Person who becomes the Sun burned up in a hot fire while his companion burned up in the less hot fire or threw himself into the ashes. He (she) turns into the Moon or a star which gives no warmth,8,True,,False,False,True,METAMORPHOSIS,celestial,rule
a22c_1,a22c,Person sacrificed to the Sun,"To make the Sun rise above the horizon, to send him to the right distance from the earth, to make him move across the sky, etc. a person has to be sacrificed",17,True,,False,False,True,MENTION,celestial,rule
a22d_2,a22d,The burned up persons turn into constellation,The burned up persons turn into a constellation or into the dark spot on the Milky Way,4,True,celestial,True,True,True,PERCEPTION,celestial,rule
a23_1,a23,Elections of the Sun to be,The primeval ancestors come together to choose the best candidate to become the Sun and/or to send the Sun to the sky or to see how the Sun rises to the sky for the first time,38,True,,False,False,True,MENTION,celestial,rule
a23a_11,a23a,Who will see the Sun first?,Two persons or animals argue about who of them will be the first to see the rising sun. One who seemed to have less chances wins,39,True,,False,False,True,MENTION,celestial,rule
a23b_11,a23b,First beams on the tree tops,Two persons or animals argue who would see the rising sun first. One who looks not to the east but to the opposite direction gets to see the first beams on trees or mountain tops and wins,19,True,,False,False,True,MENTION,celestial,rule
a23c_11,a23c,Who will fly higher?,Birds argue who of them will fly higher. One who seemed to have less chances wins (he hides himself in feathers of a strong bird using it as a vehicle) ,33,False,,False,False,False,NONE,,rule
a24_1,a24,The first sunrise,"In the beginning it is dark. When the Sun first appears on the sky, primeval beings or part of them perish or turn into animals or spirits",46,True,,False,False,True,METAMORPHOSIS,celestial,rule
a24a_3,a24a,The first day or night: transformed into spirits,"At the moment when the first day or the first night come, (some) people turn into supernatural beings",5,False,,False,False,False,NONE,,rule
a25_3,a25,Getting accustomed to the light,"When people see light of day for the first time, they are prohibited to look at it immediately. Those who break this taboo are ruined",7,False,,False,False,False,NONE,,rule
a26_1,a26,The Sun-bird,"A bird incorporates the Sun or the day light. It can be caught, let free, killed",4,True,,False,False,True,MENTION,celestial,rule
a27_1,a27,Crowns of the Sun and Moon,"Light and/or heat of the Sun and/or Moon originate from their crowns, necklaces or clothes (of feathers, of animal teeth)",45,True,,False,False,True,MENTION,celestial,rule
a29_1,a29,The Sun and a demon compete for the hero,"Two persons one of whom is connected with the upper and another with the lower or middle world, both are eager to possess another person and pull him or her to his or her side. One or both rivals are female. Person connected with the upper world and/or the object of the competition are luminaries – the Sun, the Moon, or Venus",13,True,,False,False,True,MENTION,celestial,rule
a29a_10,a29a,Torn in half by two wives,The sky wife and the wife from the earth each pull the man to her side tearing him in half,6,True,,False,False,False,MENTION,celestial,rule
a29b_1,a29b,The Moon torn in half,"Person, connected with the upper world and another person connected with the lower world or the earth both are eager to possess a hero or heroin who is associated with the Moon",10,True,,False,False,True,MENTION,celestial,rule
a30_1,a30,The Moon eats the dead,"Moon descends to earth to eat children, corpses or bones of the dead",7,True,,False,False,True,MENTION,celestial,rule
a31_2,a31,The incestuous Moon ,"As a result of some intimate contacts and/or love affair, the Moon acquires its present appearance (often, the stains on his face) and/or ascends to the sky",103,True,celestial,True,True,True,MENTION,celestial,rule
a31a_5,a31a,The cut off breast,"When a woman gets know that her husband or lover did something against accepted rules of behavior, she cuts off her breast and shows it to him",9,False,,False,False,False,NONE,,rule
a32_2,a32,Figure on lunar disc,A figure or an imprint of some being or object are seen in the Moon. (For statistical analysis motifs A32A – A32J are also included into A32),337,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32a_2,a32a,The Moon rabbit,Rabbit or hare are seen in the moon,58,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32b_2,a32b,The Moon toad,Frog or toad are seen in the moon or the Moon is associated with them,38,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32c_2,a32c,A man and a dog in the Moon,A human being and a dog together are seen in the moon,15,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32c1_2,a32c1,,,25,False,,False,False,False,NONE,,rule
a32d_2,a32d,Man in the Moon,Human being or imprint of human being is seen in the moon,250,True,celestial,True,True,True,PERCEPTION,celestial,rule
a23d1_2,a23d1,,,14,False,,False,False,False,NONE,,rule
a32dd_2,a32dd,Firewood-carrier in the moon,Person who carries a bundle of brushwood or firewood is seen in the moon.,16,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32e_2,a32e,Person with an object in hands,Person who holds some object in his or her hands is seen in the moon,126,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32f_2,a32f,Water-carrier in the Moon,Person who went to fetch water and/or holds in hands a container for liquid is seen in the moon,69,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32g_2,a32g,Holding a bush,Person who had been carried up to the moon took hold of a bush or a small tree and is seen now on the lunar disc together with this bush,17,True,,False,True,True,MENTION,celestial,rule
a32h_2,a32h,The Moon plant,A tree or bush is seen in the moon,60,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32i_2,a32i,A shepherd in the moon,"A shepherd or herdsman (alone or with a girl, with his herd, dogs) is seen in the moon",5,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32j_2,a32j,A shaman in the moon,"A shaman with his drum ascends to the moon and remains there, his figure is seen in the moon",5,True,celestial,True,True,True,PERCEPTION,celestial,rule
a32k_2,a32k,"First to the Sun, then to the Moob",Person seen in the Moon initially had to get to the Sun or the Sun and the Moon argue who of them should get the person,9,True,celestial,True,True,True,PERCEPTION,celestial,rule
a33_2,a33,The Sun ram,"The Sun has appearance of one a hoofed animal (bull, ram, pig, etc.)",11,True,,False,False,True,MENTION,celestial,rule
a34_2,a34,The fox and the Moon,"Jackal, coyote, or fox are connected with the Moon (usually with the origin of spots on the lunar disc)",23,True,celestial,True,True,True,PERCEPTION,celestial,rule
a35_2,a35,Spots on the lunar disc,"Dark spots on the lunar disc are dirt, blood, paint, traces of beating, burning, scratching, etc. on the Moon person's body or face (Kiliwa: spots on the Sun) and do not form any particular figure",188,True,celestial,True,True,True,PERCEPTION,celestial,rule
a35a_2,a35a,Dirt into the Moon’s face,Spots on the lunar disc are dirt thrown into the Moon's face by his/her sister/brother or mother,28,True,celestial,True,True,True,PERCEPTION,celestial,rule
a35b_2,a35b,To smear the Moon with pitch,"To make the Moon less bright, some person tried to smear it with pitch ",6,True,,False,False,True,MENTION,celestial,rule
a36_4,a36,The immortal Moon,"Moon, unlike people, revives or rejuvenates every month; or those who live in the Moon are immortal; or the Moon makes decision if people should die forever or regularly revive",66,True,,False,False,True,MENTION,celestial,rule
a37_1,a37,The Sun is attacked,Person attacks the Sun (or several suns if they were many) with weapon,59,True,,False,False,True,MENTION,celestial,rule
a37a_7,a37a,Shooter hides underground,"Small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit the Sun with arrows and since then has been hiding from the Sun in underground holes or in the water",11,True,,False,False,True,METAMORPHOSIS,celestial,rule
a37b_7,a37b,Shooter’s thumb cut off,"Small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit the Sun with his arrows but remains without thumb as a result",7,True,,False,False,True,METAMORPHOSIS,celestial,rule
a38_1,a38,The Sun caught in snare,"Person prepares a snare, loop, noose, etc. to catch the Sun and/or the Sun is caught in a snare, tied by a rope, etc.",60,True,,False,False,True,MENTION,celestial,rule
a38a_5,a38a,Snare of pubic hair,The Sun is caught into snare made of the pubic hair of hero's female relative,7,True,,False,False,True,MENTION,celestial,rule
a38b_7,a38b,Mouse gnaws snare open,"After the Sun is caught into snare only mouse, shrew or other small animal is able to cut it open",22,True,,False,False,True,MENTION,celestial,rule
a38c_10,a38c,The Sun’s cloak,A boy or a girl has a cloak. The Sun spoils it or gives instead a better one,12,True,,False,False,True,MENTION,celestial,rule
a38d_10,a38d,The Sun ruins cloak,"Because the Sun does damage to a person or animal (spoils, burns his cloak, skin, etc.), the person or animal kills him or catches him in a snare",10,True,,False,False,True,MENTION,celestial,rule
a39_1,a39,The twelve months,Every one of the months of a year is a separate object or creature,35,False,,False,False,False,NONE,,rule
a40_5,a40,The Sun or Moon marry toad,Frog or Toad is a wife of the Sun or Moon,21,True,,False,False,True,MENTION,celestial,rule
a41_1,a41,The Sun swallows her children,"Two persons have children (younger siblings, mothers). One of them proposes to another that they should kill (eat, bake, etc.) their children (mothers, etc.) but hides his or her own. The opponent actually kills his or her own kin. One of the persons or/and the only survived child is the Sun",20,True,,False,False,True,MENTION,celestial,rule
a42_1,a42,Phaethon: false Sun fails to fulfill his duty,"Person comes to the sun, attempts to fulfill the sun's duty but intentionally or because of a lack of skill does it wrong and the earth suffers from heat etc.",16,True,,False,False,True,MENTION,celestial,rule
a43_3,a43,The Moon in one moccasin ,"The Moon-person runs out of the lodge and flies up. He forgets to put his footwear on one foot, or somebody attempts to seize him grasping his foot or cuts the foot off. Now the Moon-person lacks one foot or footwear on one of his (or her) feet",15,True,,False,False,True,MENTION,celestial,rule
a43a_10,a43a,Person with a shoe on one foot,"While being transformed into a bird or ascending to the sky a person was in a hurry and put a footwear only on one foot, or somebody attempted to seize him grasping his foot. Now the corresponding bird or a sky-person is believed to have different feet",18,True,,False,False,False,METAMORPHOSIS,celestial,rule
a44_2,a44,Moon the protector,A woman tyrannized by her husband or an orphan girl or boy asks the Moon to take her or him to the sky. The request is granted and the person is seen now on the lunar disc,44,True,,False,True,True,MENTION,celestial,rule
a45_2,a45,The insulted Moon,Person who teases or insults the Moon is punished,31,True,,False,False,True,MENTION,celestial,rule
a46_1,a46,The Sun and Moon from eyes of a being,The Sun and Moon (Rig-Veda: the Sun only) appear from eyes of a person or creature,22,True,,False,False,True,MENTION,celestial,rule
b1_3,b1,Two male creators,In the beginning of times two companions or brothers compete in producing things. Usually one of them is or becomes master of the underworld,72,False,,False,False,False,NONE,,rule
b1a_3,b1a,Three worlds: the universe divided between gods,"Anthropomorphic persons agree to divide between them levels of universe (upper world, earth, lower world)",6,False,,False,False,False,NONE,,rule
b1b_3,b1b,Two female creators,"In the beginning of times two supernatural females compete in producing things. One has positive, another negative characteristics",5,False,,False,False,False,NONE,,rule
b1c_3,b1c,One creator deceives another,"Two creators agree that whose object will be found in a certain condition (usually: whose tree or flower will grow or blossom first) should be recognized as a senior one. While one of the creators sleeps or is absent, another replaces the objects and so achieves the priority by deceit",6,False,,False,False,False,MENTION,terrestrial,rule
b1d_3,b1d,Good and bad workers,"Two persons are creating the world, one is a good and and another a bad worker, that’s because separate parts of the world look differently",4,False,,False,False,False,NONE,,rule
b2a_3,b2a,The female earth,The earth is a female being or associated with a woman,251,False,,False,False,False,NONE,,rule
b2b_3,b2b,The earth eats the dead,The earth devours bodies of the people when they die and are buried,21,False,,False,False,False,NONE,,rule
b2c_3,b2c,The earth as a child’s body,"The earth as a whole or fertile soil is the body of a child, has been born by a woman",11,False,,False,False,False,NONE,,rule
b2d_3,b2d,Marriage of the sky and the earth,"The male Sky (the Sun, the Thunder, the creator of the sky) marries the female Earth (or its female creator) or the female Sky marries the male Earth",95,True,,False,False,True,MENTION,celestial,rule
b2e_3,b2e,The male earth,The earth or the world as a whole is a male person,36,False,,False,False,False,NONE,,rule
b2f_3,b2f,Buried in a head,Initially the earth is absent or liquid. Zoomorphic person buries his relatives in his own body or flies carrying the coffin,12,False,,False,False,False,NONE,,rule
b2g_7,b2g,,,6,False,,False,False,False,NONE,,rule
b3_3,b3,A primeval swamp,"Initially the earth is a swamp, water and dry land are not separated from each other",14,False,,False,False,False,NONE,,rule
b3a_3,b3a,Primeval waters,"Water is the original element, the dry earth appears later",291,False,,False,False,False,NONE,,rule
b3b_3,b3b,Earth grows big,Original earth was small and later increased in size or the fertile soil grew from a small amount of original substance,277,False,,False,False,False,NONE,,rule
b3c_3,b3c,An attempt to drown God,"When dry land is created, Creator takes a rest and sleeps. His antagonist decides to drown him and drags him to the edge of the earth. The dry land grows in size as long as the antagonist drags the Creator's body, the edge never reached",11,False,,False,False,False,NONE,,rule
b3d_3,b3d,Earth from worm’s excrements,"A worm obtains the earth (from the underworld), it emerges from the worm's excrements, is extracted from inside of the worm",17,False,,False,False,False,NONE,,rule
b3e_3,b3e,Earth falls on waters,"In the beginning there are only air and water. 1) Person descends from the sky, creates the dry land or a hard support created for her or him grows into the earth. 2) The earth is sent or dropped from the sky, put on the surface of the water. 3) The earth is brought from somewhere (not from the underworld) and put on the water",68,True,celestial,True,False,False,PERCEPTION,celestial,rule
b4_3,b4,The fished out earth,Islands or continent are fished out of the ocean or pulled to their present place by rope,34,False,,False,False,False,MENTION,terrestrial,rule
b5a_3,b5a,Two creators: a dialogue,"In the beginning of time, a male and a female persons meet each other and become engaged into the dialogue",13,False,,False,False,False,NONE,,rule
b5b_3,b5b,The universal mother,Woman (alone or with her companion) gives birth to or creates not only people but also different creatures and objects,25,False,,False,False,False,NONE,,rule
b6_5,b6,First man and woman meets each other,"The first or the only survived man and woman walk or run to each other around a post, a hill, etc. When they come together they marry each other",16,False,,False,False,False,MENTION,terrestrial,rule
b7a_3,b7a,The spit out water,"Somebody is the only possessor of water or certain beverage. Another person drinks it, escapes and spits out making it available for the people",16,False,,False,False,False,NONE,,rule
b7b_3,b7b,Waters from broken pot,"Sea, river, waters of flood flow out of a small container",36,False,,False,False,False,MENTION,terrestrial,rule
b7c_3,b7c,Water splashed out,Person or creature possesses all the fresh water. Another person splashes it out of a container or pond making it available for everybody,8,False,,False,False,False,NONE,,rule
b7d_3,b7d,Water flows from broken bone,Water flows from a broken bone (of a bird) producing a flood,5,False,,False,False,False,NONE,,rule
b8_3,b8,Frog hides the water,Frog hides all the water but other person makes it available for everybody,14,False,,False,False,False,NONE,,rule
b9_3,b9,Water in the tree trunk,There is enormous amount of water inside a trunk of a tree or a tree turns into water,51,False,,False,False,False,METAMORPHOSIS,terrestrial,rule
b10_3,b10,Drunk out water,"Person drinks a lake or all the water in the world or all the water is originally inside person's belly. When a hole is made in it, the water pours out",36,False,,False,False,False,MENTION,terrestrial,rule
b11a_3,b11a,Mammoth creates the landscape,Mammoth described as an underground creature moves across the earth while it is still wet creating the present landscape,7,False,,False,False,False,NONE,,rule
b13a_10,b13a,Stream follows person,A stream of water (with a monster in it) pursues person who tries to escape from it,24,False,,False,False,False,NONE,,rule
b14_3,b14,Tears turn into water,"Rivers, fountains, ocean, waters of flood, rain, etc. emerge from somebody's tears",59,False,,False,False,False,METAMORPHOSIS,terrestrial,rule
b15_3,b15,River from woman’s body,A river flows from the body of a female person,13,False,,False,False,False,MENTION,terrestrial,rule
b16a_3,b16a,Sea from the urine,"Initially there is no sea, it is produced from some person's urine",8,False,,False,False,False,NONE,,rule
b16b_3,b16b,Wolverine makes the sea salty,Wolverine or fox bathes in the sea making the water salty,5,False,,False,False,False,NONE,,rule
b16c_3,b16c,Salt-grinding mill,Magic mill is ordered to grind salt but not ordered to stop. It sinks into ocean and continues to work making the water salty,41,False,,False,False,False,NONE,,rule
b17_3,b17,Night in container,Darkness is a particular object that can be carried (usually brought from its original owner in a container),54,False,,False,False,False,NONE,,rule
b18_3,b18,Day in container,"Day light (also warmth, the sun, the moon) is kept as a particular object in a container, under a cover, etc.",48,True,,False,False,True,MENTION,celestial,rule
b19_3,b19,The night and the married life,People had trouble making love before night came into being,13,False,,False,False,False,NONE,,rule
b20_3,b20,Expedition to the upper world,"People regularly ascend to the sky for hunting, fishing or gathering; do not give honey, fish or proper meat to the old person remained below; she or he makes their return impossible, they remain in the sky",7,True,,False,False,False,MENTION,celestial,rule
b21_3,b21,Destruction of the world tree,"People ascend the tree to hunt, fish, or gather food in the sky. The tree is destroyed, people fall to earth or remain in the upper world",8,True,,False,False,False,MENTION,celestial,rule
b22_3,b22,Offended person destroys the tree,People who have climbed up a tree do not share food with a person who remained below. He or she revenges on them destroying the tree. The events have cosmic dimensions,9,False,,False,False,False,MENTION,terrestrial,rule
b22a_10,b22a,Lads and tapir,"Boys climb a tree to eat fruits. Tapir asks them to give some fruits to him, they refuse to do so. Tapir tries to kill the boys",3,False,,False,False,False,MENTION,terrestrial,rule
b23_7,b23,Prohibited fire and smoke,God prohibits making fire for cooking and punishes breakers of this taboo,11,False,,False,False,False,NONE,,rule
b24_7,b24,Transformation of kinsmen into wild pigs,Person transforms into wild pigs his kinsmen or children,5,False,,False,False,False,NONE,,rule
b24a_7,b24a,Circle of feathers,"Person makes a circle of bird feathers around a group of people or throws feathers into their dwelling, people turn into wild pigs",6,False,,False,False,False,NONE,,rule
b25_7,b25,Pigs fall from a tree,Persons climb a tree or liana and fall turning into wild pigs and other game animals,6,False,,False,False,False,MENTION,terrestrial,rule
b26_10,b26,Man joins wild animals,Person who follows the wild animals turns into one of them or into their master,54,False,,False,False,False,NONE,,rule
b27_10,b27,Variants of transformations,"Persons ponders over what object, feature, or creature it would be appropriate for him or her to turn into. When the choice is made, the persons transforms himself or herself",36,False,,False,False,False,NONE,,rule
b28_3,b28,Travelling transformer,"The transformer walks along coming across different persons, transforming them into birds, animals, stones, shrines, etc. and introducing cultural norms",61,False,,False,False,False,MENTION,terrestrial,rule
b28a_8,b28a,Pierced to the ground,Person who have been transforming people into animals or stones is pierced to the ground with a pole,5,False,,False,False,False,MENTION,terrestrial,rule
b28b_7,b28b,Pacification of things,Hero comes to a country where inhabitants are afraid of objects or plants who attack them. He easily overcomes these objects and transforms them in what they are now,14,False,,False,False,False,NONE,,rule
b28c_7,b28c,Lice grasp a man and pull him into the sea,Lice grasp a man and pull him into the sea,2,False,,False,False,False,NONE,,rule
b28d_7,b28d,"Man transformed into deer, his knives into antlers","Unrecognized Transformer meets a man who tells him that he prepares knives (a spear) to kill Transformer. The latter transforms him into deer, his knives or spear into deer antlers",10,False,,False,False,False,NONE,,rule
b29_8,b29,Eschatological feast,"People turn into animals, birds or stones at a feast, after the feast, after performing a ritual or after a victory over dangerous enemy",50,False,,False,False,False,METAMORPHOSIS,terrestrial,rule
b30a_7,b30a,Murdered person turns into fish,Fish emerges from remains of a killed person or creature,7,False,,False,False,False,NONE,,rule
b30b_7,b30b,Murdered person turns into game animals,Different game animals emerge from remains of a murdered person,11,False,,False,False,False,NONE,,rule
b31_7,b31,Woman turns into water mammal,"After a conflict with a man or remaining alone, a woman turns into water mammal",37,False,,False,False,False,NONE,,rule
b32_7,b32,Women turn into fish,After a conflict with their husbands women turn into fish,6,False,,False,False,False,NONE,,rule
b33_3,b33,Mother of wind,"Female person is incarnation of wind, mother of winds, etc.",35,False,,False,False,False,NONE,,rule
b33a_10,b33a,One dies of cold in the spring,"Believing that a winter is over, an old woman (rare: a young girl, a man) goes outdoors (usually to graze her animals) without a proper clothing. It becomes cold again and she dies of cold",40,False,,False,False,False,NONE,,rule
b33a1_10,b33a1,The offended March,"Person teases, offends March or other month and is punished",21,False,,False,False,False,NONE,,rule
b33b_7,b33b,A bird of march,In the late winter or early spring a bird (usually a thrush) flies out before time and dies of cold or her nestlings die of cold,7,False,,False,False,False,NONE,,rule
b33c_7,b33c,The borrowed days,When the winter ends and the spring begins certain mother (usually March) borrows several days from a neighbor month to preserve its strength and produce a short period of a very cold weather,23,False,,False,False,False,NONE,,rule
b33d_3,b33d,The old woman of winter,Old woman is incarnation of winter or there are several cold days between winter and spring (or fall) associated with a certain old woman,29,False,,False,False,False,NONE,,rule
b34_7,b34,Overtaken by the first night,"When night escapes from container where it was originally preserved, men surprised by the darkness turn into birds or animals",9,False,,False,False,False,NONE,,rule
b35_7,b35,Waddling bear,"Being in a hurry, the bear puts his left shoe on his right foot and vice versa. Now is lumbering",6,False,,False,False,False,NONE,,rule
b35a_7,b35a,Tree fulfills wishes and then transforms into bear,Tree grants a man the fulfillment of his wishes but ultimately transforms him into a bear,6,False,,False,False,False,MENTION,terrestrial,rule
b36_7,b36,"Color, voice, form: one divided between many","Because the integrity of some creature or (rare) object is ruined, different beings get their present colors, voices and other anatomical traits",66,False,,False,False,False,NONE,,rule
b36a_7,b36a,Bathing in blood,Birds or fish obtain their colors after smearing themselves with liquids extracted from the body of some being or dividing among themselves its bright skin or dress,49,False,,False,False,False,NONE,,rule
b36b_7,b36b,Birds obtain their voices,Birds obtain their voices after pecking big reptile and smearing themselves with liquids from its body,5,False,,False,False,False,NONE,,rule
b36c_7,b36c,Fat animals,"Animals get meat and fat extracted from some original creature or created otherwise. Some get a lot, some remain lean",14,False,,False,False,False,NONE,,rule
b37_7,b37,Color of birds,"Person paints two or more different birds (rare: fish) or they paint each other, smear themselves with paint, decorate their bodies with pieces of bright skin or fabric. Since then feathers, beaks and feet of the birds (skin and scales of fish) are of different colors",116,False,,False,False,False,NONE,,rule
b38_7,b38,The ruined painting,Person paints birds or animals or they paint each other. It is made not according to the original plan,71,False,,False,False,False,NONE,,rule
b38a_7,b38a,Two birds paint each other,"Two birds paint each other, one becomes worse than it was before",36,False,,False,False,False,NONE,,rule
b38b_7,b38b,Raven and loon paint each other,Raven and loon paint each other,17,False,,False,False,False,NONE,,rule
