motif_id,class,confidence,substrate,reason
a23c,ANTHROPOMORPHIC_ANIMAL,high,animal,"The story centers on birds exhibiting human-like competition and deceptive behavior, effectively projecting personhood onto them."
a24,CELESTIAL_PAREIDOLIA,high,sky,"The appearance of the sun itself is directly linked to the fate of beings, implying a perceived figure or event *within* the sun's emergence."
a24a,METAMORPHOSIS,high,multiple,"The core of the motif is people *becoming* supernatural beings, which prioritizes METAMORPHOSIS over simply being perceived as such."
a25,NATURE_SPIRIT_PERSONIFICATION,medium,sky,"The light of day possesses a power that demands respect, functioning as an entity with agency that can 'ruin' those who offend it, without a specific visual or auditory trigger being described."
a26,CELESTIAL_PAREIDOLIA,high,sky,"The motif explicitly links a bird to the Sun/daylight, representing a visual perception of a figure (the bird) *within* a celestial phenomenon (the sun)."
a27,CELESTIAL_PAREIDOLIA,high,sky,"The description directly attributes human-like adornments to the Sun and Moon, creating a visual perception of features on celestial bodies."
a29,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The Sun is treated as a personified entity actively competing for a human, without a specific visual or auditory trigger for this personification; it's a direct attribution of agency to the celestial "
a29a,METAMORPHOSIS,high,multiple,"The story describes a man being literally torn apart and thus *becoming* part of the sky and earth, fulfilling the criteria for transformation into natural features."
a29b,CELESTIAL_PAREIDOLIA,high,sky,"The central image is a divided moon, directly perceiving a form *in* the moon itself, and the narrative revolves around figures desiring a being *associated with* that lunar form."
a2a,CELESTIAL_PAREIDOLIA,high,sky,"The motif centers on a visual phenomenon in the sky – multiple suns – and its perceived effect, directly linking to the definition of perceiving figures in celestial bodies."
a2b,CELESTIAL_PAREIDOLIA,high,sky,"The motif explicitly describes perceived celestial bodies (suns and moons) being present and then destroyed, fitting the visual perception of figures in the sky."
a2b1,CELESTIAL_PAREIDOLIA,high,sky,"The myth explicitly describes multiple suns existing as visible phenomena in the sky, fitting the definition of visually perceiving figures in celestial bodies."
a2c,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes personified offspring (children) to the sun, a celestial phenomenon, establishing a figure-in-sky pareidolia."
a2d,CELESTIAL_PAREIDOLIA,high,sky,"The motif explicitly describes perceived entities (suns) within a sky phenomenon, fitting the definition of visually perceiving figures in celestial bodies."
a3,NATURE_SPIRIT_PERSONIFICATION,high,sky,This describes personified celestial bodies without a specific pareidolic trigger or transformation story; it's a gender assignment to natural phenomena.
a30,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes an action (eating) to the moon, perceiving it as an active agent with a mouth, thus visually projecting a predatory figure onto the lunar disc."
a31,METAMORPHOSIS,high,sky,The myth explains the Moon's appearance as a direct result of a transformative event (intimate contact) that caused it to *become* what it is now.
a31a,PURE_NARRATIVE,high,none,This describes a social custom/punishment with no element of perceived figures in nature or personification of natural phenomena.
a32,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure is *seen in the Moon*, which is a direct visual perception in a celestial phenomenon."
a32a,CELESTIAL_PAREIDOLIA,high,sky,The core of the myth is the visual perception of a rabbit *within* the moon's surface.
a32b,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure (toad/frog) is *seen in* the moon, which is a sky phenomenon, fitting the definition of visual perception in a celestial body."
a32c,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states figures are visually perceived *in the moon*, which is a sky phenomenon."
a32c1,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a visual perception of an animal *in the Moon*, fitting the definition of seeing a figure in a celestial phenomenon."
a32d,CELESTIAL_PAREIDOLIA,high,sky,The core of the myth is the visual perception of a human figure *within* the moon itself.
a32d1,CELESTIAL_PAREIDOLIA,high,sky,"The myth explicitly states figures are *seen* within the lunar disc, fitting the definition of visually perceiving a figure in a sky phenomenon."
a32dd,CELESTIAL_PAREIDOLIA,high,sky,The description explicitly states a figure is visually perceived within a celestial phenomenon (the moon).
a32e,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure is visually perceived *in the moon*, which is a sky phenomenon."
a32f,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure visually perceived *in the moon*, fitting the definition of seeing a pattern in a celestial phenomenon."
a32g,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure is visually perceived *on the lunar disc*, establishing a figure-in-sky pareidolia."
a32h,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a visual perception of a tree/bush *within* the moon, fitting the definition of seeing a figure in a celestial phenomenon."
a32i,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a figure is visually perceived *in* the moon, fitting the definition of seeing a pattern in a sky phenomenon."
a32j,CELESTIAL_PAREIDOLIA,high,sky,The core of the myth is the visual perception of a figure (the shaman) *in* the moon itself.
a32k,CELESTIAL_PAREIDOLIA,high,sky,"The core of the myth involves perceiving a figure *in* the Moon, and a struggle to possess that figure between celestial bodies."
a33,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a visual perception of an animal *in* the sun, which is a sky phenomenon, fitting the definition of CELESTIAL_PAREIDOLIA."
a34,METAMORPHOSIS,high,sky,The story explains the lunar spots as originating from the animal being transformed and appearing *on* the Moon’s surface.
a35,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states perceiving markings *on* the moon (a sky phenomenon) *as* features of a lunar person's body, which is a direct visual pareidolia."
a35a,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes a perceived visual feature (spots) on a celestial body (the Moon) to a specific cause, representing a figure perceived within the sky."
a35b,CELESTIAL_PAREIDOLIA,high,sky,"The story directly attributes an action to the Moon itself, perceiving it as a surface capable of being smeared, thus a visual pareidolia of a face or surface."
a35c,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states perceiving features (scars/wounds) *on* the Moon's surface, which is a sky phenomenon."
a36,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes life-like qualities (immortality, decision-making, rejuvenation) to the Moon as a celestial body, perceiving it as a living entity."
a37,CELESTIAL_PAREIDOLIA,high,sky,"The Sun is treated as a being with a face/form that can be attacked, representing a visual perception of agency in a celestial body."
a37a,METAMORPHOSIS,high,animal,"The core of the myth is the transformation of a being *into* an animal as a consequence of their actions, explaining their current state of hiding."
a37b,METAMORPHOSIS,high,animal,"The core of the myth involves a being *becoming* an animal as a direct consequence of attempting to reach a celestial target, prioritizing transformation over simple visual resemblance."
a38,METAMORPHOSIS,high,sky,"The core of the myth involves the Sun *being* caught, implying a transformation of the Sun into a captured state, rather than simply resembling something."
a38a,CELESTIAL_PAREIDOLIA,high,sky,"The sun is visually conceived of as being *caught* in something, implying a visual perception of a pattern or form within the sky (the sun's disc) resembling a snare."
a38b,ANTHROPOMORPHIC_ANIMAL,high,animal,"The story centers on an animal (mouse/shrew) performing a human-like action (cutting open a snare) to free a powerful being, attributing agency and capability beyond typical animal behavior."
a38c,NATURE_SPIRIT_PERSONIFICATION,medium,sky,"The Sun acts with intent and agency, giving or spoiling a cloak, implying a personality rather than a visual or auditory perception within the sun itself."
a38d,ANTHROPOMORPHIC_ANIMAL,high,animal,"The sun is treated as a living being capable of being harmed and retaliating, exhibiting agency and thus personhood."
a39,CELESTIAL_PAREIDOLIA,high,sky,The daily 'birth' and 'death' of the sun inherently involves perceiving a changing figure in the sky.
a4,NATURE_SPIRIT_PERSONIFICATION,high,sky,The motif assigns gender to celestial bodies without describing a visual or auditory trigger for the personification.
a40,ANTHROPOMORPHIC_ANIMAL,high,animal,"The toad/frog is explicitly given the role of a wife, demonstrating personification and agency beyond typical animal behavior."
a41,METAMORPHOSIS,high,multiple,"The story centers on a being *becoming* the Sun, explaining its existence through a transformation, even if it involves a horrific act; this prioritizes METAMORPHOSIS over potential pareidolia of a fi"
a42,CELESTIAL_PAREIDOLIA,high,sky,"The story centers on a person interacting with and attempting to *be* the sun, directly perceiving agency within the celestial body."
a43,CELESTIAL_PAREIDOLIA,high,sky,"The story directly describes a figure (the Moon-person) visually perceived *in* the moon, and a physical characteristic (missing footwear) is attributed to the moon's appearance."
a43a,METAMORPHOSIS,high,multiple,"The core of the myth describes a person *becoming* a bird/sky-being, with the shoe detail explaining a persistent physical characteristic of that transformed entity."
a44,METAMORPHOSIS,high,sky,"The core of the myth is a person being *transformed into* the Moon, explaining their visible presence there, which prioritizes METAMORPHOSIS over simple CELESTIAL_PAREIDOLIA."
a45,CELESTIAL_PAREIDOLIA,high,sky,"The story centers on a perceived personality *in* the Moon, and punishment results from interacting with it as if it were a person, fitting the definition of visually perceiving personhood in a celest"
a46,METAMORPHOSIS,high,multiple,"The myth explicitly states the Sun and Moon *originate from* the eyes of a being, representing a transformation of body parts into celestial bodies."
a47,NATURE_SPIRIT_PERSONIFICATION,medium,sky,"The horsemen *represent* luminaries and periods of the day, embodying them as distinct personalities without a specific pareidolic trigger for their appearance."
a4a,CELESTIAL_PAREIDOLIA,high,sky,"The motif explicitly describes a figure (Sun-woman) visually perceived *in* the sun, and her actions are directly tied to the sun's appearance (dazzling rays)."
a4b,NATURE_SPIRIT_PERSONIFICATION,high,sky,The sun is given the human emotion of fear and a corresponding behavioral motivation without any visual or auditory trigger for this personification.
a5,NATURE_SPIRIT_PERSONIFICATION,high,sky,"This describes personified celestial bodies without a specific visual or auditory trigger for the personification, simply assigning gender to them."
a5a,METAMORPHOSIS,high,sky,"The myth explicitly describes the Sun *being made from* the Moon’s discarded materials, representing a transformation into a celestial body."
a6,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The myth assigns gender to celestial bodies without describing a visual or auditory trigger for the personification, focusing on inherent personality."
a7,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes personhood and relational behavior (pursuit) to celestial bodies, perceiving them as figures in the sky."
a7a,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a visual perception of a figure (holding a torch) *in* a celestial phenomenon (the Sun, Moon, Venus), fitting the definition of CELESTIAL_PAREIDOLIA."
a8,NATURE_SPIRIT_PERSONIFICATION,high,sky,The myth directly assigns sibling relationships to celestial bodies without describing a visual or auditory trigger for perceiving figures within them.
a8a,METAMORPHOSIS,high,sky,"The myth describes celestial bodies (Sun, Moon, star) being *released* from a prior state, implying a transformation into their current form by a hero’s action."
a9,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The moon is presented as a female being with agency and protective intent, without a specific visual or auditory trigger for this personification."
b1,PURE_NARRATIVE,high,none,"This describes a plot of rivalry and division of labor, lacking any element of perceived figures in nature or transformation into natural objects."
b10,METAMORPHOSIS,high,water,"The core of the myth describes a being *becoming* the source of all water, explaining its origin and release through a physical rupture."
b100,NATURE_SPIRIT_PERSONIFICATION,high,none,"The description centers on 'sleep' as an entity or substance, possessing agency or being personified, without a specific pareidolic trigger or transformation."
b101,TERRESTRIAL_PAREIDOLIA,high,plant,"The scratches and slashes on the birch bark are interpreted as evidence of a perceived 'wound' or 'suffering' inflicted upon the tree, projecting a sense of personhood and pain onto the landform (tree"
b102,CELESTIAL_PAREIDOLIA,high,sky,"The description directly links a sky phenomenon (clouds) to an earthly origin (smoke), implying a visual perception of form arising from natural processes."
b103,ANTHROPOMORPHIC_ANIMAL,high,plant,"The story attributes intent and expectation (being 'disappointed') to a being—either a devil or a bear—regarding the tree's fruiting cycle, effectively projecting personhood onto it."
b104,METAMORPHOSIS,high,animal,"The core of the story is the transformation of the chicken *into* a tortoise, explaining the origin of that animal."
b104a,METAMORPHOSIS,high,animal,"The central event is the transformation of the chicken into a toad that afflicts the son, directly linking a being to a natural object and explaining its presence."
b105,METAMORPHOSIS,high,animal,"The core of the story is the daughter-in-law *becoming* an animal due to shame, fulfilling the definition of transformation into a natural object."
b106,AUDITORY_PAREIDOLIA,high,sky,"The myth explicitly attributes a voice/cry to a sky phenomenon, establishing a perceived auditory connection between the heavens and earthly birds."
b107,METAMORPHOSIS,high,multiple,"The story explains the current state of oyster shells (being black) by stating they were *transformed* by a past fire, fitting the definition of metamorphosis."
b108,METAMORPHOSIS,high,multiple,"The core of the myth is a person being transformed into a natural phenomenon (snow), which prioritizes METAMORPHOSIS over simple visual resemblance."
b109,METAMORPHOSIS,high,animal,"The core of the myth is a person *becoming* an animal, explaining the origin of that animal type, which prioritizes METAMORPHOSIS over simply anthropomorphizing a bear."
b109a,METAMORPHOSIS,high,animal,"The core of the myth is a being *becoming* a bear, explaining its terrestrial existence as a result of a transformation from the sky."
b110,METAMORPHOSIS,high,landform,"The core of the motif is a person's body directly *becoming* landscape features, fulfilling the definition of transformation into a natural object."
b110a,METAMORPHOSIS,high,multiple,"The core of the myth is a person *becoming* atmospheric phenomena (snow and wind), fulfilling the definition of transformation into natural objects."
b111,METAMORPHOSIS,high,animal,The story explicitly describes the origin of bees stemming from the transformation of a bull's corpse into the insects.
b112,ANTHROPOMORPHIC_ANIMAL,high,animal,"The bird actively *helps* return stolen property and is then *decorated* for its actions, demonstrating personified behavior and intent."
b113,METAMORPHOSIS,high,multiple,"The story explains a physical characteristic (cold bottoms/knees) as the result of a past transformative event during creation, fitting the definition of metamorphosis where beings are changed into or"
b114,METAMORPHOSIS,high,animal,"The core of the myth is the transformation of a person *into* an animal, explaining the animal's existence."
b115,METAMORPHOSIS,high,plant,"The narrative explicitly states trees *became* evergreen due to an event, prioritizing transformation over mere resemblance."
b115a,ANTHROPOMORPHIC_ANIMAL,medium,plant,"The story centers on a personified request regarding trees (plants) and their 'knots' functioning like iron, implying agency and intent within the natural world."
b116,ANTHROPOMORPHIC_ANIMAL,high,animal,"The motif centers on an animal performing an action typically associated with humans (reading/destroying knowledge), thus projecting personhood onto the animal."
b116a,ANTHROPOMORPHIC_ANIMAL,high,animal,"The motif centers on an animal (or person acting as a vessel) embodying and enacting knowledge, effectively granting the animal personhood through its role as a living archive."
b116b,METAMORPHOSIS,high,water,"The book's destruction due to water implies a transformation of the book *into* an unreadable or lost state, motivated by the water's action."
b117,ANTHROPOMORPHIC_ANIMAL,high,animal,"The story centers on animals behaving with human-like agency and social roles (possessing certificates, having enmity), establishing them as personified beings."
b118,METAMORPHOSIS,high,animal,"The core of the myth is a person being transformed into an animal (owl), explaining the owl's existence as a result of a past event."
b11a,METAMORPHOSIS,high,landform,"The story describes a creature *becoming* the landscape itself as it moves, which is a transformation into a landform, prioritizing this over potential animal personification."
b13a,METAMORPHOSIS,high,water,"The stream's pursuit implies it *is* a transformed being, actively chasing the person, rather than simply resembling one."
b14,METAMORPHOSIS,high,water,"The description states a person *creates* the rapids, implying transformation into the natural feature."
b15,METAMORPHOSIS,high,water,"The core of the myth is a person being transformed *into* a natural feature (the river), making metamorphosis the defining motif."
b16a,METAMORPHOSIS,high,water,"The origin story explicitly states the sea *is* made from a bodily fluid, representing transformation into a natural feature."
b16b,ANTHROPOMORPHIC_ANIMAL,high,water,"The wolverine/fox is acting with intentionality (urinating) and directly causing a change in the sea, effectively behaving as a person."
b16c,METAMORPHOSIS,high,water,"The mill *becomes* the source of the ocean's saltiness, explaining a natural phenomenon through a transformation narrative."
b17,NATURE_SPIRIT_PERSONIFICATION,medium,none,"While darkness is treated as an object, the myth treats it as a separable entity with agency, implying a spirit-like quality rather than a visual or auditory pareidolia or transformation."
b18,METAMORPHOSIS,high,sky,"The motif describes light/the sun/moon *being* contained, implying a transformation into a contained object rather than simply resembling one."
b19,NATURE_SPIRIT_PERSONIFICATION,high,sky,"Night is presented as a pre-existing entity whose presence enables a human activity, indicating personification of a natural phenomenon without a specific pareidolic trigger."
b1a,PURE_NARRATIVE,high,none,"The description details a division of the universe between beings, focusing on social agreement and cosmic organization without any element of perceived figures in nature."
b1b,NATURE_SPIRIT_PERSONIFICATION,high,none,"The story describes personified forces of creation without a specific pareidolic trigger or transformation; the females *are* the creative forces, not appearing *in* nature."
b1c,PURE_NARRATIVE,high,none,"This is a story of competition and trickery between creators, lacking any element of perceived figures in nature or personification of natural features."
b1d,NATURE_SPIRIT_PERSONIFICATION,medium,landform,"The differing qualities of the world are attributed to the personalities and work ethics of two creator beings, without a specific pareidolic trigger for their existence."
b20,METAMORPHOSIS,high,sky,"The story centers on a person's ability to *become* permanently located in the sky due to the actions of those left behind, explaining their continued presence there."
b21,METAMORPHOSIS,high,plant,"The world tree *is* the world, and its destruction represents a fundamental transformation of the environment and the people's relationship to it."
b22,ANTHROPOMORPHIC_ANIMAL,high,plant,"The tree is the target of intentional harm due to a perceived social slight, implying a degree of personhood or agency attributed to it as a wronged party."
b22a,ANTHROPOMORPHIC_ANIMAL,high,animal,"The tapir acts with intent, requests fruit, and attempts to harm the boys, demonstrating personified behavior beyond simple animal action."
b23,NATURE_SPIRIT_PERSONIFICATION,medium,none,The god's prohibition implies ownership/control over a natural force (fire) without a specific pareidolic trigger being described.
b24,METAMORPHOSIS,high,animal,"The core of the motif is people being *transformed* into animals, specifically wild pigs, which directly addresses the definition of metamorphosis."
b24a,METAMORPHOSIS,high,animal,"The core of the myth is the transformation of people *into* animals, making it a clear case of metamorphosis despite the use of feathers as the triggering element."
b25,METAMORPHOSIS,high,plant,"The core of the myth is people *becoming* animals, specifically explaining their origin via transformation from a tree or vine."
b26,METAMORPHOSIS,high,animal,"The core of the motif is a person *becoming* an animal, which is a transformation into a natural entity."
b27,METAMORPHOSIS,high,multiple,"The core of the motif is the transformation *into* a natural object or creature, prioritizing this over simple resemblance or personification."
b28,METAMORPHOSIS,high,multiple,"The core of the motif is the transformation of people *into* natural or cultural features, establishing those features through the act of change."
b28a,METAMORPHOSIS,high,multiple,"The core of the story involves a being who *transforms* people into animals/stones, and is then fixed (transformed) into the ground itself, making transformation the defining motif."
b28b,METAMORPHOSIS,high,multiple,"The core of the myth involves transforming aggressive natural entities into their current, pacified forms, prioritizing transformation over mere resemblance."
b28c,ANTHROPOMORPHIC_ANIMAL,high,animal,"The lice are depicted as actively grasping and pulling a man, exhibiting intentional behavior characteristic of personhood."
b28d,METAMORPHOSIS,high,multiple,"The core of the motif is the transformation of people *into* animals, directly explaining their altered state, which prioritizes METAMORPHOSIS over simple pareidolia."
b28d1,METAMORPHOSIS,high,animal,"The core of the story is a person being *transformed* into an animal, directly explaining the origin of the deer's antlers."
b28e,METAMORPHOSIS,high,sky,"The description explicitly states the Moon *transforms* the world, establishing norms – this is a transformation motif where the Moon's action creates the current state of things."
b29,METAMORPHOSIS,high,multiple,"The core of the motif is the transformation of people *into* animals or stones, explaining their current state as a result of past actions."
b2a,NATURE_SPIRIT_PERSONIFICATION,high,landform,The description explicitly personifies the earth as a female being without detailing a visual or auditory trigger for this association.
b2b,NATURE_SPIRIT_PERSONIFICATION,high,landform,"The earth is acting as an agent with a consuming personality, without a specific visual or auditory trigger for this personification."
b2c,METAMORPHOSIS,high,landform,"The description explicitly states the earth *is* a transformed human body, prioritizing metamorphosis over simply resembling one."
b2d,NATURE_SPIRIT_PERSONIFICATION,high,multiple,This describes personified natural forces – Sky and Earth – entering a relationship without a specific pareidolic trigger or transformation being central to the narrative.
b2e,NATURE_SPIRIT_PERSONIFICATION,high,landform,"The description explicitly personifies the earth as a male being without detailing a visual or auditory trigger, fitting the definition of a nature spirit or personification."
b2f,METAMORPHOSIS,high,landform,"The bird's act of burying or carrying the dead *creates* a landform feature (its head becoming a burial site), representing transformation rather than simple visual resemblance."
b2g,ANTHROPOMORPHIC_ANIMAL,high,landform,"The story features an animal (Chameleon) acting with agency in a primordial world, establishing it as a figure with personified behavior."
b3,PURE_NARRATIVE,high,water,This describes a cosmogonic state without attributing personhood or visual/auditory qualities to any natural feature.
b30a,METAMORPHOSIS,high,water,"The core of the motif is the transformation of a being *into* a fish, explaining the fish's origin from the remains."
b30b,METAMORPHOSIS,high,animal,"The core of the myth is the transformation of a person *into* animals, explaining their origin from the murdered individual."
b31,METAMORPHOSIS,high,water,"The core of the motif is a transformation *into* a water mammal, establishing a direct link between a person and a natural form."
b32,METAMORPHOSIS,high,water,"The core of the myth is the transformation of people (women) *into* fish, explaining their current form as a result of a past event."
b33,NATURE_SPIRIT_PERSONIFICATION,high,sound,The motif describes a personified natural force (wind) without a specific visual or auditory trigger for the personification.
b33a,PURE_NARRATIVE,high,none,"The story describes a sequence of events and a fatal misjudgment about the weather, lacking any element of perceived figures in nature or personification."
b33a1,ANTHROPOMORPHIC_ANIMAL,high,animal,"The story features an animal (bird) acting with intent and being punished for its actions, demonstrating personification of animal life."
b33b,METAMORPHOSIS,high,animal,"The early bird's death *explains* the arrival of spring, effectively transforming the bird into the season itself, a classic metamorphosis motif."
b33c,NATURE_SPIRIT_PERSONIFICATION,medium,none,"The description attributes agency ('borrowing') to abstract periods of time (months), personifying them as entities capable of interaction without a specific pareidolic trigger."
b33d,NATURE_SPIRIT_PERSONIFICATION,high,none,"The motif describes winter being embodied as an old woman, a personification of a natural force without a specific pareidolic trigger."
b33e,NATURE_SPIRIT_PERSONIFICATION,high,none,"February is personified as a month with agency and a desire, without any specific pareidolic trigger in nature."
b33f,NATURE_SPIRIT_PERSONIFICATION,high,none,The night is personified as an active agent ('unwinds her yarn') without any specific pareidolic trigger or transformation being described.
b33g,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The story personifies celestial bodies (Sun, Moon, Night) as horsemen without describing a specific visual or auditory trigger for this personification."
b34,METAMORPHOSIS,high,multiple,"The core of the myth is the transformation of humans *into* animals due to the arrival of night, fitting the definition of metamorphosis where beings become natural objects (in this case, animals)."
b35,ANTHROPOMORPHIC_ANIMAL,high,animal,The bear is depicted performing a distinctly human action (mismatching shoes) implying personhood and intent.
b35a,METAMORPHOSIS,high,plant,"The core of the story is a transformation *into* a natural object (a bear, originating from the tree), making metamorphosis the defining motif."
b36,METAMORPHOSIS,high,multiple,"The description explicitly states that traits originate from the disintegration of a single entity, implying transformation into the characteristics observed in other beings."
b36a,METAMORPHOSIS,high,animal,"The motif describes a transformation of a being *into* the coloration of animals, explaining their current appearance."
b36b,METAMORPHOSIS,high,animal,"The story explains the origin of birds' voices by linking it to a transformation *caused by* contact with a reptile, effectively stating birds *became* vocal through this process."
b36c,ANTHROPOMORPHIC_ANIMAL,medium,animal,"The description centers on animals possessing qualities (fatness/leanness) and being derived from a source, implying agency and a state beyond simple animal existence."
b37,ANTHROPOMORPHIC_ANIMAL,high,animal,The birds are depicted as actively participating in a human-like activity (painting/decorating) which implies personhood and agency beyond typical animal behavior.
b38,METAMORPHOSIS,medium,multiple,"The act of painting fundamentally transforms the subject (animal/person) into a new form, even if imperfectly, aligning with the core idea of transformation into something else."
b38a,ANTHROPOMORPHIC_ANIMAL,high,animal,"The birds are depicted with human actions (painting) and implied intent, effectively acting as people."
b38b,ANTHROPOMORPHIC_ANIMAL,high,animal,"Both Raven and Loon are depicted with human-like agency and engage in a distinctly human activity (painting), establishing them as personified animals."
b38c,METAMORPHOSIS,high,animal,"The story explicitly states a transformation of the bird's tail base *because* of an action done to it, making it a clear case of metamorphosis explaining a physical characteristic."
b38d,ANTHROPOMORPHIC_ANIMAL,high,animal,Both Raven and Owl are depicted with human-like agency and engage in the distinctly human activity of painting.
