motif_id,n_ru_hits,n_en_hits,ru_hits,en_hits,name_en
f2,3,0,ледника | пустыне | пустыню,,Pregnant limb
f20,2,0,саванна | саваннах,,A strong embrace
f28a1,2,0,мангры | саванну,,Jumping penis
f3,2,0,пустыне | пустыню,,The man gives birth after eating his wife’s pregnency medicine
f30,1,0,тропические,,Snake paramour
f30a,3,0,тундре | яранге | ярангу,,Worm-baby
f33,1,0,саванне,,Water creature paramour
f34,2,0,саванну | степные,,Land animal paramour
f35,2,0,саванну | степные,,Paramour mutilated
f38,2,0,пустыни | пустыня,,Women and sacred knowledge
f39,1,0,пустыня,,The time of women
f40a,1,0,саванну,,Husband of the first women
f40b,1,0,степи,,A man in a village of women
f43,1,0,пустыне,,First women disappear
f45,2,0,пустыне | пустынь,,The amazons
f45a,2,0,пустыне | пустынь,,Conception from wind
f5,1,0,степи,,Brides for first men
f53,2,0,айсбергом | арктике,,Ugly husband
f58,3,0,степи | степные | тундру,,Trickster and women
f5b,1,1,степь,snow,Artificial bride
f6,1,0,джунглях,,Gouged our vagina
f62,2,0,пустыню | степи,,Incognito at the dancing party
f63,1,0,степь,,Trickster poses as woman and marries man
f64,1,0,степные,,The lecherous parent
f64b,3,0,тайге | тундре | ярангу,,Incestuous woman
f65,2,0,айсберга | тундровые,,The false burial
f65a,3,0,айсберга | степные | тундре,,Death feigned to meet paramour
f65b,1,0,тундровые,,Death feigned to eat burial food
f65c,2,0,степные | тундровые,,The feigned burial: boy exposes deceit
f66,3,0,тайге | тундре | ярангу,,The false house
f68,1,0,степные,,Death feigned: woman dresses up as a man
f70,3,0,пустыне | пустыни | степной,,Potiphar's wife: false accusation of sexual abuse
f70a,2,0,пустыне | степной,,Disordered clothes as evidence against innocent man
f70b,4,0,пустыне | пустыни | степной | степные,,Revenge of a rejected woman
f70c,1,0,пустыне,,The castrated youth becomes a man again
f70d,1,0,пустыню,,A disgraced informer
f70e,1,0,степи,,A girl turns into a man
f70e1,2,0,пустыне | степи,,Daughter instead of son
f70e2,1,0,степи,,Father tests his daughters or sons
f71,4,0,пустыне | пустынное | степи | степь,,Susan and the old men (the innocent slandered maiden)
f74,2,0,степи | степные,,Naked person shams dead
f79,1,0,саванна,,Animal wives
f81,1,0,тундровые,,Bride in a river
f83,1,0,степные,,News precede man
f86,3,0,саванне | степь | яранге,,Signal for paramour to come out
f88,1,0,джунглях,,Odor of women
f90,6,0,тайге | тайги | тайгу | тундре | тундру | ярангу,,A tragic incest
f91,3,0,айсбергу | яранге | ярангу,,A worm-breeder
f97,1,0,тундровый,,The prohibited fruit: origin of sex
f98,1,0,степи,,God and a cow
f9a,1,0,тундровые,,Vagina dentata
f9b,1,0,саванна,,Piranha in vagina
f9c,1,0,степные,,Snake in vagina
f9d,1,0,арктика,,Scorpions in vagina
f9f,3,0,пустыне | пустыни | пустыню,,Asmodeus
f9f1,3,0,пустыне | пустыни | пустыню,,Snake inside woman
f9g,1,0,пустыне,,Brunhilde
g1,1,0,пампас,,A kidnapped child
g15,1,0,саванна,,Plant maidens
g21,0,2,,coconut | palm,Coconut palm from a human head
g23,5,0,пустыни | пустынным | тайге | тайгой | тундру,,Alive being turns into many objects
g23a,1,0,пампас,,Alive being turns into plants
g28,1,0,саванну,,The fish tree
g29,2,0,тайге | тундру,,Demon made of artifacts
g5,2,0,саванны | степную,,Food tree
g6,2,0,пустыни | пустынный,,Primeval tree
g7,2,0,саванны | степную,,Blunt axes
g8a,0,1,,canoe,Cutting tree to make a canoe
g8b,1,0,степи,,Cutting tree to get a person
h12,5,0,мангры | прерии | прерию | пустыне | пустыню,,Orpheus: visit to the land of the dead
h15,1,0,прерию,,Whisper and yawning
h16,1,0,тундрам,,Rivers of tears and blood
h18,5,0,степи | степь | тайге | тайгу | тундру,,Hoarded game released
h18b,1,0,саванну,,Cattle returns into water
h19,1,0,степь,,Raven tries to starve people
h1a,1,0,прерия,,The originator of death the first sufferer
h20,2,0,саванну | тундру,,Fish disperse in the world
h21a,1,0,саванну,,Not to kill a big fish
h22a,1,0,тайгу,,Animals disperse after being touched by people
h24,2,0,прерию | пустыне,,Container opened too early
h24b,1,0,саванна,,Souls disappear from the opened container
h24c,1,0,саванны,,Death in container
h24e,1,0,пустыне,,To choose life or death
h27,1,0,степь,,Mosquitoes let lose
h27a,1,0,степь,,A hole in the ground
h28,3,0,степи | степь | тайгу,,Plagues from the body of a person or creature
h31,1,0,саванне,,Origin of death: man and celestial bodies
h34a,1,0,прерия,,Controversy over conditions of life
h34b,1,0,прерия,,Rivers flow in both directions
h34e,0,1,,snow,The edible snow
h34f,1,0,тропическая,,Walking baskets
h36,1,0,саванне,,The muddled message
h36a,1,0,саванне,,Origin of death from the falsified message
h36c,1,0,саванне,,Death and the lizard
h37,1,0,степные,,Magic device lost by a failure
h37a,1,0,степные,,Jump over brushwood kindles fire
h4,1,0,саваннах,,The shed skin
h40,1,0,степь,,Dog is the guard of man
h41,2,0,степь | тайге,,Death and the dog
h42,1,0,степь,,Creator goes away for a while
h43a,1,0,пустыни,,Broken figure of the first man
h43aa,1,0,степь,,Figure of the first man smeared with filth
h45,1,0,степь,,The abused bread
h46,1,0,степь,,The dog’s part
h46a,1,0,степь,,The dog and the spike
h48,2,0,саванну | степь,,Daughters of evil spirit
h49,2,0,пустыни | степи,,Pet defends master’s child
h49c,3,0,пустыне | пустыни | степи,,Faithful falcon killed
h49d,1,0,пустыне,,The poisoned fruit
h5,1,0,саваннах,,People and snakes
h52,1,0,степь,,The search of immortality
h54,6,0,айсбергом | леднике | пустыню | степи | тайги | тайгу,,The eyelids of Viy
h55,2,0,пустынной | степь,,Sinners in other world
h6a,1,0,степного,,People and plants
h6b,1,0,степи,,The life-medicine spilled on plants
h6c,2,0,степи | степь,,The immortal raven
h7,4,0,саваннах | степи | степь | тундре,,The personified Death
h7e,1,0,степь,,Humans knew the time of their death
h9,1,0,степного,,Strong and weak
i1,4,0,ледника | степные | тундровых | тундрой,,The thunderbirds
i11,1,0,ледники,,Cosmic turtle or toad
i114,1,0,степной,,The earthquake: is anybody alive?
i115a,1,0,пустыня,,Orion and the Pleiades as a man and a woman
i117,1,0,саванне,,Spider ferries from one world to another
i12,2,0,пустыни | тайги,,The world axis
i121,1,0,арктический,,Twin constellations
i134,1,0,средиземноморье,,Long neck on the Milky Way
i13a,2,0,пустыни | степные,,The horned serpent
i13d,1,0,пустыне,,Hibernating with snakes
i14,1,0,пустынь,,No-anus people
i15,1,0,степь,,No-mouth people
i2,1,0,степные,,Lightning from eyes
i22,4,0,айсберга | прерии | пустыне | пустынь,,Symplegades (obstacle opens and closes)
i22b,1,0,степь,,Birds fly to the outer world
i25,5,0,пустыне | пустыню | степь | яранге | яранги,,The bribed guards
i25a,2,0,пустыне | степь,,Bones to cows
i27,1,0,степях,,Chthonic canine
i27c,1,0,тайге,,The four-eyed dog
i28,2,0,степь | тайги,,Animals in the underworld
i3,2,0,саванну | степи,,Weapon of Thunder
i34,1,0,саванна,,The dangerous tree
i35a1,1,0,пустыня,,Challenge to Thunder-god
i35b,1,0,мерзлоты,,The bronze sky
i38,2,0,пустыне | тайге,,The dog-heads
i38a,1,0,пустыне,,The dog-husbands
i39,1,0,степи,,Rainbow road or bridge
i4,2,0,пустыни | тундровые,,Thunder rides in the sky
i41,1,0,степной,,Rainbow serpent
i43a,1,0,саванны,,The celestial monster
i43b,1,0,саванны,,Milky Way is a serpent or fish
i46,1,0,степные,,Rainbow belt
i47a,1,0,средиземноморский,,Rainbow is fox’s wedding
i4a,1,0,степи,,Thunder in trouble: falls to earth
i5,1,0,степи,,Thunder is an animal
i50,2,0,ледника | степи,,Animal with more than four legs
i50a,1,0,степи,,Torn off legs of the helpful animal
i50b,1,0,ледника,,Horse with three legs
i51a,1,0,пустыне,,Bull the earth-holder
i51b,1,0,пустыню,,The earth is an animal
i52,1,0,ледников,,Fish the earth-holder
i55,1,0,тундровые,,Stars are openings
i55b,1,0,тайги,,The sun deer
i59b4,0,1,,snow,Milky Way is snow or rime
i6,2,0,пустыни | степь,,Weather birds
i7,1,0,пустынь,,The cloud serpent
i72,1,0,степные,,Stars are people
i76a,1,0,степи,,Snake turns into dragon
i81,1,0,пустынь,,Waters rush down into the underworld
i82a,2,0,саванна | тундровые,,Venus is male
i82b,1,0,тундровые,,Venus is female
i82d,1,0,тундровые,,Morning and Evening stars are a man and a woman
i83,1,0,саванна,,The sky of birds
i84,1,1,тайге,snow,Milky Way is a snow-shoes track
i84a,0,2,,frozen | snow,Son of God frozen to death
i85b,1,0,пустыни,,Polaris is a man
i86a,0,1,,snow,Down turns into snow
i87,2,0,степь | степью,,Skull as a cave
i87a,2,0,степи | тайга,,Series of creatures ever greater in size
i87a2,1,0,степи,,What is Two?
i87aa,2,0,степи | тайга,,The big bull
i87ac,1,0,тайга,,Bone in the eye
i87b,1,0,степью,,The quest for a strong adversary
i88,2,0,пустынь | саванне,,Animal with many tails
i89,1,0,пустыне,,The lost caravan
i8g,2,0,джунглях | тундровые,,Atlas
i8i,4,0,ледник | ледником | пустыня | саваннах,,Original earth unstable
i9,1,0,степные,,Colors of the cardinal directions
j12,2,0,степной | степные,,Travelling girl comes across suitors
j15,2,0,саванну | саванны,,Woman gets to dangerous creatures
j17,2,0,яранги | ярангу,,Frogs in hair
j20,1,0,степные,,Wicked guest: woman breaks taboo
j22e,1,0,степь,,Placenta person
j23,1,0,саванну,,A late son kills monsters
j25,1,0,степь,,Babies escape and return
j25a,2,0,пустыне | пустыню,,Son of the grave
j26,5,0,пустыне | пустыни | пустыню | степи | степная,,Babies come out of the water
j27,3,0,степи | степь | тайга,,Lodge-boy and Thrown-away
j27b,1,0,степь,,The water father
j28b,2,0,степь | тайги,,A hot scone
j30,1,0,тундра,,Parents’ remains
j31,1,0,степь,,Father’s weapon
j32,1,0,леднике,,Brothers spy for night chief
j32b,1,0,степи,,Night was made long
j37,3,0,саванны | яранге | ярангу,,Antagonist carried away by bird
j4,6,0,прерии | пустыни | саванна | саванне | степь | тайги,,Death of the father avenged
j40,2,0,прерии | степь,,Enemy from the sky
j41,1,0,степные,,Foxes jeer at the abandoned person
j42,4,0,пустыню | степь | тайгу | тундру,,Waters split apart
j45,1,0,степные,,The stretched out leg (crane bridge)
j46,3,0,пустыни | пустыня | степные,,Enemy drowns
j47,1,0,пустыне,,Pursuer falls from height
j50b,1,0,степь,,Father more dead than alive
j52b,2,0,степь | тайгу,,Hare-woman or hare-children as heros
j54,1,0,тундровые,,One of two female companions kills another
j54b,1,0,степь,,Kills own mother to rescue his half-brother
j55,1,0,саванна,,Unrecognized hero comes across enemies
j58,2,0,саванне | тайгу,,The arrow ladder
j59,3,0,степи | степь | тайгу,,Following arrow gets to the sky
j59a,2,0,степные | тайги,,Flight after the arrow
j62,6,0,пустыне | пустыни | пустыню | пустыня | степи | степь,,People turned into stones
j66,4,0,пустыне | пустыни | тундровые | тундру,,Gnawed through bow-strings
k100,1,0,пустыню,,A faithful servant
k100a,3,0,пустыне | пустыню | степь,,Tobias
k100b,3,0,пустыне | пустыни | пустыню,,A grateful dead
k100c,3,0,пустыне | пустыни | пустыню,,Girl’s bridegrooms are bitten by a snake
k100f,2,0,ледника | пустыню,,Youth lets the fish go
k100f1,1,0,леднике,,The wild man
k100g,1,0,степи,,Person sacrifices his child to cure his friend
k101b,1,0,леднике,,Three nights of suffering
k102,5,0,пустыне | пустыню | степь | тайге | тайгу,,Demonic paramour of mother or sister
k102a,2,0,пустыне | пустыню,,Father was right
k102a1,2,0,пустыне | пустыню,,The false grave as evidence of the death
k102a2,4,0,пустыне | степные | степь | тайге,,Mother conspires to kill her son
k103,1,0,степь,,Helpful cow
k103a,3,0,пустыню | степи | степь,,Tree raises its branches
k106,2,0,степи | степь,,Thrown to cows
k107,2,0,пустыне | пустыню,,Lost husband found
k107a,2,0,пустыне | степи,,Iron shoes to be worn out
k107b,1,0,пустыню,,Not to light a candle
k107c,1,0,пустыне,,Knives on the windowsill (the prince as bird)
k108,2,0,пустыни | пустынь,,A revived wife betrays her husband
k10a,1,0,саванне,,Battle with a bird: a shelter
k10g,1,0,степи,,Nestlings carries a man down to the earth
k110,1,0,пустыне,,Reflection of golden sword
k113,2,0,степи | степь,,The animal bride
k113a,2,0,пустыня | степь,,To take wife where arrow falls
k114,2,0,пустыне | степь,,Brothers leave home after their sister is born
k115,1,0,степного,,The man saved by a spider web
k116,1,0,пустыню,,Choice of companion
k116a,2,0,степи | тайга,,Wife never laughs (king is killed after putting on a poor man's clothes)
k116b,2,0,степи | тайга,,The lecherous holy man and the maiden in the box
k117a,3,0,пустыне | пустыни | степи,,To make a mute woman speak
k118,4,0,пустыне | пустыню | степи | степь,,The prohibited room
k119,3,0,пустыне | степь | тайгу,,Puss in boots
k119a,1,0,пустыне,,Ungrateful master
k11a,1,0,саванне,,Feathers turn into birds
k11b,0,1,,bamboo,Reeds from bird’s bones
k12,9,0,ледником | пустыне | пустыню | саванна | степи | степь | тайга | тайги | ярангу,,Woman lost and returned
k120,2,0,пустыню | степи,,The averted incest (daughter and father)
k120a,3,0,пустыне | степи | степь,,The averted incest (sister and brother)
k120a2,1,0,степи,,Not my mother but my mother-in-law
k120a4,1,0,тайгу,,To fill a vessel with tears
k121,3,0,пустыня | степи | степь,,Wanderer at a crossroad
k122,1,0,степи,,Queen of other world comes to identify the hero
k123,4,0,леднике | пустыне | степи | степь,,Old woman’s curse
k123a,3,0,пустыне | степи | степь,,A broken vessel
k125,2,0,тайге | тайгу,,House utensil betrays its master
k129,3,0,пустыню | степи | степь,,The disenchanted beauty
k129a,1,0,пустыню,,Half alive lady in the burial chamber
k12a,1,0,степь,,A strained bow
k130,1,0,пустыню,,Am I the most beautiful?
k130a,3,0,пустыню | степи | степь,,Girl in the house of several brothers
k131,5,0,пустыне | пустыню | саванну | степи | степь,,Men fight over magic objects
k132,1,0,степи,,Invincible chicken
k134,3,0,пустыне | пустынный | пустыню,,The planted treasure
k135,2,0,пустыне | степи,,Seven with one stroke
k136a,1,0,пустыне,,Hair picked up from the river
k136b,2,0,пустыне | пустыню,,Rubies from a river
k136c,2,0,пустыне | пустыню,,Killed and revived periodically
k137,1,0,степь,,Sister tricks women to come and revive her brother
k139,2,0,пустыню | степи,,Pheasant gets burnt
k13a,1,0,саванны,,Person with cut off leg ascends to the sky
k14,2,0,пустыне | степь,,Precious advices
k144,3,0,пустыне | пустыни | средиземноморье,,The predestined death because of an animal
k146,3,0,пустыне | пустыню | степь,,Life-medicine brought by the hero is used to revive him
k148,1,0,степи,,The stolen colts
k14a,1,0,пустыне,,Thrown into the oven himself
k14c,1,0,пустыне,,Man mistakes his son for his wife’s lover
k150,1,0,пустыню,,Horse eats coals
k152,1,0,степи,,The evil woman thrown into the well
k154,2,0,пустыне | степи,,A skull with an inscription
k154a,2,0,пустыне | степи,,Men in the harem
k155,1,0,пустыне,,Bone in the meat (prince grown in isolation)
k156,1,0,пустыне,,Will flowers wither undeer the pillow?
k157,4,0,пустыне | пустыни | степи | степь,,Robbers killed one by one
k157a,2,0,пустыне | пустыню,,Vanished husband learned of by keeping inn
k158,1,0,пустыни,,Who is the woman on a portrait?
k159,2,0,пустыню | степь,,Peas poured under the feet
k15b,2,0,степной | степь,,Substituted barrel of water
k15c,0,1,,ice,Substituted clothes
k161,1,0,степь,,The liberated dragon
k163,1,0,пустыню,,Aladdin and his lamp
k165,1,0,леднике,,The youth who wanted to learn what fear is
k17,1,0,пустыне,,Ornitomorphic suitor
k18,3,0,пустынный | степи | степные,,Infant picks out his unknown father
k18d,1,0,степи,,A lazy boy and a fish
k19b,1,0,прерии,,Star-husband
k1c,1,1,яранге,canoe,One who comes to look at adversary’s bones dies himself
k1e,1,0,яранге,,Marooned on an islet
k1f,3,0,пустыня | степные | степь,,Conflict because of a woman
k2,1,0,пустыню,,The destroyed ladder
k21,3,0,прерии | яранге | ярангу,,Woman descends from the sky by rope
k23,2,0,степи | ярангу,,Battle with birds
k24,6,0,джунгли | пустыне | пустыни | пустыню | степи | тундровые,,Stolen clothes of supernatural woman
k24a,1,0,ярангу,,Supernatural male hides clothes of human girl
k24b,1,0,пустыне,,To dance in her magic clothes
k25,17,0,айсбергом | джунгли | пустыне | пустыню | саванна | саванне | степи | степные | степь | тайге | тайги | тайгу | тундре | тундровые | яранге | яранги | ярангу,,Woman from sky-world marries mortal man
k25a1,4,0,джунгли | степи | тайге | тундровые,,Magic wife finds her clothes
k25d,1,0,прерии,,Prohibited bulb in the sky
k26,5,0,прерии | тундре | тундру | яранге | ярангу,,A hole in the firmament
k27a,1,3,леднике,frosty | ice | snow,Ordeal: survive cold
k27c,1,0,саванне,,Ordeal: knives and thorns
k27d,1,0,саванне,,Ordeal: chamber with dangerous beings
k27e,2,0,саванне | степь,,Eating or drinking contest
k27f,4,0,пустыне | пустыню | саванну | степи,,A task: to get a woman
k27f1,2,0,пустыне | степь,,To build a bridge
k27g,2,0,саванну | степи,,Ordeal: to bathe in a boiling liquid
k27hh,3,0,джунгли | степи | степь,,To sort grain
k27l1,0,2,,frozen | ice,To be frowen in ice
k27ll,0,1,,ice,Water covered with ice
k27n,5,0,джунгли | мерзлоты | степи | степные | тундровые,,Tasks of the in-laws
k27n1,6,0,джунгли | мерзлоты | пустыню | степи | яранги | ярангу,,Task-giver is a king or a chief
k27n3b,1,0,тундровые,,"Task-giver lives in the sky but is not the Sun, Moon or Thunder"
k27nn,4,0,джунгли | леднике | пустыню | степи,,Envious minister
k27p,1,0,степные,,Antagonist mourns loss of his helpers
k27p1,1,0,степи,,Antagonist in animal guise
