motif_id,raw_first300,anon_first300
a2b1,"Лепча: [два брата-Солнца всходили по очереди, был нестерпимый жар; Жаба (съедобный вид) вызвался убить Солнце, сделал стрелу из петушьего гребешка (Celosia L. , амарантовые), убил ею старшего брата; младший накрылся черным покрывалом, стало темно; черные песты превратились в змей, деревянные ступки ","[два брата-Солнца всходили по очереди, был нестерпимый жар; Жаба (съедобный вид) вызвался убить Солнце, сделал стрелу из петушьего гребешка (Celosia L. , амарантовые), убил ею старшего брата; младший накрылся черным покрывалом, стало темно; черные песты превратились в змей, деревянные ступки в тигро"
m46b,"Трук: (Каролины) [Olofat и его брат Semen Kanor желают одну девушку; та выбирает СК; О. выпивает всю воду и сок кокосов, оставляет в одном, помещает туда себя в виде комариной личинки; женщина проглатывает ее с водой, с трудом рожает мальчика; он все время плачет, а его испражнения - как у взрослого"," [Olofat и его брат Semen Kanor желают одну девушку; та выбирает СК; О. выпивает всю воду и сок кокосов, оставляет в одном, помещает туда себя в виде комариной личинки; женщина проглатывает ее с водой, с трудом рожает мальчика; он все время плачет, а его испражнения - как у взрослого мужчины; О. {т."
i26,"Догоны: [на пути к загробному миру Manga, расположенному на СВ, душа встречает петуха, который хочет остановить ее; ему надо бросить просо, которое дала старуха; далее путь преграждает собака, ей надо дать молока коровы, которую пасла женщина фульбе

Малекула: (Вао и другие островки рядом с главным ","[на пути к загробному миру Manga, расположенному на СВ, душа встречает петуха, который хочет остановить ее; ему надо бросить просо, которое дала старуха; далее путь преграждает собака, ей надо дать молока коровы, которую пасла женщина фульбе

 [на пятый день после смерти душа спускается через вулкан"
m156,"Готтентоты: [1) по Bleek; белый человек (вар.: голландец) освобождает змею из-под камня, она собирается его укусить; гиена (вар.: и заяц) говорят, что змея права; шакал не верит, что змея могла подняться, оказавшись под камнем, велит показать, как все было; змея остается под камнемм; 2) по Held; баб","[1) по Bleek; белый человек (вар.: голландец) освобождает змею из-под камня, она собирается его укусить; гиена (вар.: и заяц) говорят, что змея права; шакал не верит, что змея могла подняться, оказавшись под камнем, велит показать, как все было; змея остается под камнемм; 2) по Held; бабуин ищет нас"
m39d,"Хауса: [торговец Балу занял у Нванко денег с условием вернуть через два месяца; иначе вырежет у него кусок мяса; жена Б. растранжирила деньги, Н. повел его в суд; по дороге Б. случайно выбил глаз мулу, оторвал хвост ослу, убил человека, случайно спрыгнув ему на голову с крыши; пострадавшие тоже пошл","[торговец Балу занял у Нванко денег с условием вернуть через два месяца; иначе вырежет у него кусок мяса; жена Б. растранжирила деньги, Н. повел его в суд; по дороге Б. случайно выбил глаз мулу, оторвал хвост ослу, убил человека, случайно спрыгнув ему на голову с крыши; пострадавшие тоже пошли к суд"
i69,"Акпосо: (либо близкие группы, район города Атакпамэ) [метеоры – экскременты Солнца

Мальгаши: (мерина) [метеоры – экскременты звезды

Немцы: (славянский субстрат, раз есть у лужичан, или немецкое влияние у лужичан? поэтому условно – северо-восток) [звездопад – Sternschnuppen (""звезды сморкаются"")

М","(либо близкие группы, район города Атакпамэ) [метеоры – экскременты Солнца

(мерина) [метеоры – экскременты звезды

(славянский субстрат, раз есть у лужичан, или немецкое влияние у лужичан? поэтому условно – северо-восток) [звездопад – Sternschnuppen (""звезды сморкаются"")

[метеоры – экскременты (в "
m151,"Лаади: (лаари) [Крокодил притворяется мертвым; Заяц приводит своих детей, говорит, что если крокодил мертв, он должен шевелить лапой, открыть глаза; крокодил это делает, Заяц с зайчатами уходят

ганда: [Заяц подговаривает Леопарда красть скот; производит шум, будто подходят люди; Леопард убегает, За","(лаари) [Крокодил притворяется мертвым; Заяц приводит своих детей, говорит, что если крокодил мертв, он должен шевелить лапой, открыть глаза; крокодил это делает, Заяц с зайчатами уходят

[Заяц подговаривает Леопарда красть скот; производит шум, будто подходят люди; Леопард убегает, Заяц съедает мяс"
k65e,"Берберы: Алжира [ночью к женщине пришла фея, попросила хну и благовония, сказала, что должна рожать; когда начнутся роды, она пошлет за ней своего черного сына; пришел черный кот и женщина поняла, что это и есть сын феи; женщина пошла за котом; фея родила черную девочку; дала женщине денег и та верн","Алжира [ночью к женщине пришла фея, попросила хну и благовония, сказала, что должна рожать; когда начнутся роды, она пошлет за ней своего черного сына; пришел черный кот и женщина поняла, что это и есть сын феи; женщина пошла за котом; фея родила черную девочку; дала женщине денег и та вернулась дом"
b2g,"Аньи: [хамелеон и жаба спорят, кто из них старше; хамелеон: когда я появился, земля была полужидкой, поэтому до сих пор ступаю осторожно и медленно; жаба: когда я появилась, было лишь три холмика, пришлось перепрыгивать с одного на другой; а когда эти холмики растворились в болоте, земля приняла вид","[хамелеон и жаба спорят, кто из них старше; хамелеон: когда я появился, земля была полужидкой, поэтому до сих пор ступаю осторожно и медленно; жаба: когда я появилась, было лишь три холмика, пришлось перепрыгивать с одного на другой; а когда эти холмики растворились в болоте, земля приняла вид, кото"
k121,"Судана: [у султана 7 сыновей, у его бедного брата 7 дочерей; султан издевается над бедняком; велит принести воды не колодезной, не речной, не дождевой; младшая дочь Фатима учит женщин хорошо попотеть, отец приносит султану их пот; султан велит принести бурдюк молока, которое не от животного или чело","[у султана 7 сыновей, у его бедного брата 7 дочерей; султан издевается над бедняком; велит принести воды не колодезной, не речной, не дождевой; младшая дочь Фатима учит женщин хорошо попотеть, отец приносит султану их пот; султан велит принести бурдюк молока, которое не от животного или человека; Ф."
